created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2025-04-24T19:50:50Z,www.amazon.com,Not Available,Kindle for iOS,B0DCTZPG8V,Before You Go BSE,Reach end of book,2025-04-24T19:50:40Z,2025-04-24T19:50:50Z,KFX
2025-03-17T12:41:36Z,www.amazon.com,Not Available,Kindle for iOS,B0CBHXCKPS,Before You Go BSE,Reach end of book,2025-03-17T12:41:31Z,2025-03-17T12:41:36Z,KFX
2024-02-26T08:33:03Z,www.amazon.com,Not Available,Kindle for iOS,B09HLCTYZ8,Before You Go BSE,Reach end of book,2024-02-26T08:33:00Z,2024-02-26T08:33:03Z,KFX
2025-06-02T14:37:52Z,www.amazon.com,Not Available,Kindle for iOS,B09JT59YYX,Before You Go BSE,Reach end of book,2025-06-02T14:37:26Z,2025-06-02T14:37:52Z,KFX
2025-04-16T00:06:51Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2025-04-16T00:06:49Z,2025-04-16T00:06:51Z,KFX
2025-03-31T01:00:37Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2025-03-31T00:59:44Z,2025-03-31T01:00:37Z,KFX
2024-03-04T09:18:32Z,www.amazon.com,Not Available,Kindle for iOS,B01N7GREG9,Before You Go BSE,Reach end of book,2024-03-04T09:18:30Z,2024-03-04T09:18:32Z,KFX
2024-08-12T03:18:28Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-08-12T03:18:01Z,2024-08-12T03:18:28Z,KFX
2025-03-17T04:05:54Z,www.amazon.com,Not Available,Kindle for iOS,B0CBHXCKPS,About This Book BSE,Open the book,2025-03-17T04:05:42Z,2025-03-17T04:05:54Z,KFX
2024-03-03T07:24:29Z,www.amazon.com,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-03-03T07:24:23Z,2024-03-03T07:24:29Z,KFX
2025-07-19T14:15:23Z,www.amazon.com,Not Available,Kindle for iOS,B0BT9W3ZS2,Before You Go BSE,Reach end of book,2025-07-19T14:15:21Z,2025-07-19T14:15:23Z,KFX
2024-12-27T20:21:36Z,www.amazon.com,Not Available,Kindle for iOS,B00I43Z1J0,About This Book BSE,Open the book,2024-12-27T20:21:34Z,2024-12-27T20:21:36Z,KFX
2025-08-29T00:38:26Z,www.amazon.com,Not Available,Kindle for iOS,B0D1QKJLYT,About This Book BSE,Open the book,2025-08-29T00:37:25Z,2025-08-29T00:38:26Z,KFX
2024-10-01T00:35:02Z,www.amazon.com,Not Available,Kindle for iOS,B09CP3FR9K,Before You Go BSE,Reach end of book,2024-10-01T00:33:04Z,2024-10-01T00:35:02Z,KFX
2024-09-25T02:22:58Z,www.amazon.com,Not Available,Kindle for iOS,B0D4YYKBC7,About This Book BSE,Click on About This Book,2024-09-25T02:22:53Z,2024-09-25T02:22:58Z,KFX
2025-02-24T04:19:19Z,www.amazon.com,Not Available,Kindle for iOS,B0D1PC9FHN,About This Book BSE,Open the book,2025-02-24T04:19:17Z,2025-02-24T04:19:19Z,KFX
2025-02-05T16:19:29Z,www.amazon.com,Not Available,Kindle for iOS,B0BY9M2C4X,Before You Go BSE,Reach end of book,2025-02-05T16:19:25Z,2025-02-05T16:19:29Z,KFX
2024-10-03T20:35:56Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-10-03T20:35:50Z,2024-10-03T20:35:56Z,KFX
2024-10-29T00:30:50Z,www.amazon.com,Not Available,Kindle for iOS,B0BKTCYCJ1,About This Book BSE,Open the book,2024-10-29T00:30:47Z,2024-10-29T00:30:50Z,KFX
2025-03-31T01:11:51Z,www.amazon.com,Not Available,Kindle for iOS,B0CLFB86PL,About This Book BSE,Open the book,2025-03-31T01:11:27Z,2025-03-31T01:11:51Z,KFX
2024-10-31T21:31:55Z,www.amazon.com,Not Available,Kindle for iOS,B0CB4B21KB,Before You Go BSE,Reach end of book,2024-10-31T21:31:45Z,2024-10-31T21:31:55Z,KFX
2024-12-19T01:57:13Z,www.amazon.com,Not Available,Kindle for iOS,B09GCC6Y5M,About This Book BSE,Open the book,2024-12-19T01:57:11Z,2024-12-19T01:57:13Z,KFX
2025-03-16T06:44:21Z,www.amazon.com,Not Available,Kindle for iOS,B09PQFL2J7,About This Book BSE,Open the book,2025-03-16T06:44:19Z,2025-03-16T06:44:21Z,KFX
2025-02-02T23:48:01Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,Before You Go BSE,Reach end of book,2025-02-02T23:47:59Z,2025-02-02T23:48:01Z,KFX
2025-02-28T18:23:20Z,www.amazon.com,Not Available,Kindle for iOS,B0089LOFGC,Before You Go BSE,Reach end of book,2025-02-28T18:23:10Z,2025-02-28T18:23:20Z,KFX
2025-02-24T04:52:05Z,www.amazon.com,Not Available,Kindle for iOS,B09BN2WNPP,About This Book BSE,Open the book,2025-02-24T04:52:02Z,2025-02-24T04:52:05Z,KFX
2025-04-26T22:08:04Z,www.amazon.com,Not Available,Kindle for iOS,B076G47245,Before You Go BSE,Reach end of book,2025-04-26T22:06:25Z,2025-04-26T22:08:04Z,KFX
