created_timestamp,ASIN,customer_context,action,device_family,country,preferred_marketplace
2025-02-14T00:06:35Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-16T00:07:18Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:11:14Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-15T18:24:01Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-24T00:58:55Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-08T02:11:20Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-10T17:07:20Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-28T22:22:36Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-29T14:05:14Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-07T01:04:43Z,B0DQVGJ7ZK,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-24T22:48:27Z,B0D7ZVQG2N,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T02:44:33Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-24T00:59:23Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:08:43Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:40:02Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2024-03-09T00:22:33Z,B01D6TA9Y8,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-27T19:02:28Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-28T00:41:18Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-04T00:11:12Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-15T18:23:13Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-04T00:09:32Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-01-26T18:37:13Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:11:44Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-30T23:23:11Z,B00DE5EBZ8,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-28T03:45:56Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-09-04T00:08:50Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:44:47Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-14T00:08:05Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-04T04:57:15Z,B0DKG9MS7S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-17T00:55:30Z,B0BL1L6XPD,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-25T02:00:49Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-02T22:28:27Z,B0C6NBLBL2,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-17T19:20:18Z,B00TU3BTUI,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T17:24:01Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-27T23:54:07Z,B0D5YMWD9Y,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-17T04:27:17Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:48:16Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-10T01:00:48Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-14T18:44:59Z,B0D3C17M1Z,Not Applicable,Search,Mac,Not Available,www.amazon.com
2025-04-10T12:22:40Z,B08XK8L1J7,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-25T04:33:33Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:09:31Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-29T20:23:40Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-04T21:13:35Z,B0DJTBBNQX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:25:34Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-02T11:21:47Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-02T22:23:58Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-28T15:58:04Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:09:57Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:45:24Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:08:51Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-10T02:12:08Z,B0CJDMBYCT,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-22T20:21:24Z,B0CL1C4PM4,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:47:13Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-10T03:26:47Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:11:30Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:08:41Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-05-11T16:34:13Z,B00JAXSEFQ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:27:34Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-12T01:13:55Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2024-03-09T00:22:29Z,B01D6TA9Y8,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-09T23:33:07Z,B08XK8L1J7,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-05-11T16:34:09Z,B00JAXSEFQ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-29T14:05:29Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-03T21:46:16Z,B0C6NBLBL2,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-07T01:04:57Z,B0DQVGJ7ZK,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:14:17Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:09:17Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:17:22Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-29T19:53:53Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:48:22Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:13:29Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-20T04:14:52Z,B0CL1C4PM4,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:42:02Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-27T23:53:43Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-03T22:56:18Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-17T04:27:18Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-30T18:57:43Z,B095G183J6,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-28T17:59:45Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-09-30T00:00:24Z,B0BSG1XDTR,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:22:20Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-28T03:45:40Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-19T03:25:54Z,B0CL1C4PM4,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T03:06:23Z,B0CR1N7YGX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:14:42Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-21T17:01:00Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-27T14:18:58Z,B0B6SZZDTP,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-05-11T16:34:23Z,B00JAXSEFQ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T21:23:04Z,B0DFGDFM4V,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-22T04:42:12Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-08T22:15:03Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:11:39Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:26:46Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-05-11T16:33:56Z,B00JAXSEFQ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-25T04:33:30Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-14T00:06:23Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-16T00:07:50Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-18T02:26:41Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-30T00:52:06Z,B0D5YMWD9Y,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T18:51:08Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-09-03T00:33:50Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-25T01:59:35Z,B0D7F96JNZ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:08:48Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-14T03:14:36Z,B0DD1VWZ4Z,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-17T17:52:15Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-21T15:23:20Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-11T03:18:42Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-10T12:22:17Z,B08XK8L1J7,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-10T15:05:23Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-12T00:00:40Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T01:22:13Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T01:27:05Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
