created_timestamp,ASIN,customer_context,action,is_starred,device_family,country,preferred_marketplace
2024-11-19T19:05:19Z,B015FELXQ0,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-03-16T08:36:04Z,B017S3J3X6,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-08-30T12:14:07Z,B0DB2L4TWY,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-10-05T13:12:25Z,B09H7Q4B74,Reading View And Menu,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-05-04T21:15:20Z,B00IUS9FOG,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-01-10T21:57:31Z,B0872K48RW,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-01-31T00:25:26Z,B07QBC8QTP,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-03-23T02:58:08Z,B0CYM3ZDK6,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-03-11T17:20:55Z,B0CJDMBYCT,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-06-08T19:58:17Z,B07Z8CGG7R,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-12-11T15:52:14Z,B0C44DX85D,Reading View And Menu,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-04-01T03:00:30Z,B09Z7BYZS3,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-11-20T12:42:46Z,B015FELXQ0,Reading View,Add Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-11-21T17:57:55Z,B01LOWN78Y,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-12-24T20:13:03Z,B00CU7YHQY,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-03-16T08:44:35Z,B017S3J3X6,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2025-06-29T17:46:20Z,B0D5YMWD9Y,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
2024-09-06T16:25:19Z,B0CW18879C,Reading View,Remove Bookmark,No,Kindle for iOS,Not Available,www.amazon.com
