created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2024-03-29T08:33:29Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-15T00:57:15Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-09T08:33:20Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T02:03:56Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-07T01:11:07Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T16:20:15Z,US,US,Kindle E-reader,B00O6V45CS,wireless,wifi,by user
2024-04-07T03:08:04Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-31T03:16:48Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-31T05:39:21Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-29T02:52:44Z,US,US,Kindle E-reader,Not Available,airplane_mode,disabled,automatically after an update
2024-04-15T20:07:29Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-02T08:32:25Z,US,US,Kindle E-reader,B0BHLBHG79,wireless,wifi,by user
2024-04-11T01:30:20Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T11:19:31Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-29T02:52:44Z,US,US,Kindle E-reader,Not Available,wireless,wifi,automatically after an update
2024-03-30T02:02:35Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T07:16:31Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T08:34:07Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-04T03:54:19Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-13T13:15:03Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-15T00:45:49Z,US,US,Kindle E-reader,B0778CV9Y4,wireless,wifi,by user
2024-03-30T21:52:28Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
