ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B07J2VTTL9,"NOT AVAILABLE","NOT AVAILABLE",2024-03-01T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00ONUYEZA,"NOT AVAILABLE","NOT AVAILABLE",2024-03-01T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0994RZ2L1,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09S1CMMBT,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B091SLLP6H,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0BDW9C3JY,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CB1RMZRC,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09HLCTYZ8,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0BDW83LGQ,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09X6KD3CS,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
