created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2024-04-20T15:27:46Z,www.amazon.com,US,Kindle E-reader,Not Available,837315
2024-03-30T21:51:18Z,www.amazon.com,US,Kindle E-reader,Not Available,189774
2024-04-08T16:50:03Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,1629161
2024-04-15T00:56:05Z,www.amazon.com,US,Kindle E-reader,Not Available,75669
2024-04-08T10:54:12Z,www.amazon.com,US,Kindle E-reader,Not Available,4923
2024-04-02T04:26:00Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,10791721
2024-04-05T01:34:53Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,482581
2024-04-07T01:47:07Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,1005808
2024-04-09T01:10:22Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,1252417
2024-04-11T02:33:27Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,1212528
2024-07-18T18:25:42Z,www.amazon.com,US,Kindle E-reader,Not Available,1062396
2024-04-07T19:08:17Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,4556926
2024-04-23T04:56:37Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,4447530
2024-04-07T22:51:07Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,8751343
2024-04-13T13:15:45Z,www.amazon.com,US,Kindle E-reader,Not Available,44594
2024-04-06T15:06:13Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,53523
2024-04-06T17:24:33Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,7729530
2024-04-20T18:03:57Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,500601
2023-12-01T00:10:09Z,www.amazon.com,US,Kindle E-reader,Not Available,599992
2024-04-22T03:09:17Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,899123
2024-04-20T15:29:01Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,25047
2024-04-08T18:00:50Z,www.amazon.com,US,Kindle E-reader,Not Available,1236031
2024-04-09T05:35:05Z,www.amazon.com,US,Kindle E-reader,Not Available,11906504
2024-04-15T00:46:52Z,www.amazon.com,US,Kindle E-reader,Not Available,67680
2024-03-29T02:58:04Z,www.amazon.com,US,Kindle E-reader,Not Available,381818
2024-04-04T08:50:24Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,9260249
2024-04-07T02:38:11Z,www.amazon.com,US,Kindle E-reader,Not Available,370805
2024-04-13T16:19:39Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,34577
2024-04-07T01:09:57Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,1512581
2024-03-31T05:38:11Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,2102415
2024-04-20T22:28:01Z,www.amazon.com,US,Kindle E-reader,Not Available,632811
2024-04-16T03:52:52Z,www.amazon.com,US,Kindle E-reader,Not Available,6119725
2024-04-22T04:35:00Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,1276269
2024-04-20T17:54:41Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,6235360
2024-04-17T02:22:03Z,www.amazon.com,US,Kindle E-reader,Not Available,3141947
2024-04-08T22:50:11Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,217200
2024-07-17T15:41:28Z,www.amazon.com,US,Kindle E-reader,Not Available,314085
2024-04-09T00:12:34Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,481083
2024-04-15T00:54:42Z,www.amazon.com,US,Kindle E-reader,Not Available,23935
2024-04-22T03:34:18Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,1360552
2024-04-07T00:44:27Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,1061991
2024-03-31T03:15:38Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,4142238
2024-04-20T03:00:05Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,1790916
2024-04-07T20:05:41Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,167390
2024-03-30T20:02:44Z,www.amazon.com,US,Kindle E-reader,Not Available,3921015
2024-07-20T16:53:53Z,www.amazon.com,US,Kindle E-reader,Not Available,600036
2024-04-04T03:53:08Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,2514650
2024-04-07T02:31:53Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,2679479
2024-03-31T15:38:14Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3,1497212
