created_timestamp,ASIN,customer_context,action,is_starred,highlight_menu_setting,device_family,country,preferred_marketplace
2025-04-22T03:00:25Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T11:06:44Z,B0CR1N7YGX,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:57:55Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-22T23:50:18Z,B0DFGDFM4V,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T20:59:36Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-05-18T18:37:04Z,B0DGCLB3X3,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T20:46:33Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:11:45Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T03:06:42Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T11:06:38Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-22T23:49:49Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T22:44:08Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-07-25T14:29:14Z,F9E1D97B26F64086B915F88D6A59002F,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T11:09:42Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T21:23:26Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:40:25Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T01:55:30Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-01T23:54:58Z,B09JT59YYX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T00:03:21Z,B0DFGDFM4V,Edit Note Button,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T23:31:41Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:22:53Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T11:06:28Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T18:34:12Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T22:44:12Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:28:53Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T03:06:53Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T21:23:47Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T16:55:38Z,B0DFGDFM4V,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T21:00:02Z,B0CR1N7YGX,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T02:40:05Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2024-03-01T00:07:41Z,B091SLLP6H,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-22T23:03:34Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T03:00:40Z,B0CR1N7YGX,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T16:55:57Z,B0DFGDFM4V,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T01:55:07Z,B0CR1N7YGX,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-04-22T23:38:04Z,B0CR1N7YGX,Selected Text Menu,Add Note,No,,Kindle for iOS,Not Available,www.amazon.com
2025-01-09T17:53:26Z,B075CRQLKG,Selected Text Menu,Open Note Window,No,,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T23:32:00Z,B0DFGDFM4V,Selected Text Menu,Edit Note,No,,Kindle for iOS,Not Available,www.amazon.com
