DSN,Surface,Timestamp,Activity,CampaignName,DisplayStatus
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/03/2024 07:28,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/25/2024 15:31,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/04/2024 00:45,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/04/2024 00:45,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/04/2024 00:45,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/04/2024 00:45,RECEIVED,tips,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:39,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:39,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:39,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:39,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:40,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:40,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
64A32768C3794A7CA443A2368E83E905,iOS,03/01/2024 16:12,RECEIVED,tips,Push notification silently received.
64A32768C3794A7CA443A2368E83E905,iOS,03/27/2024 17:56,RECEIVED,kindle_recommends,Push notification silently received.
64A32768C3794A7CA443A2368E83E905,iOS,03/16/2024 02:40,RECEIVED,kindle_recommends,Notification displayed for customer (InApp).
