"Product Name","ASIN","Resource Type","Our Price","Ownership Type","Relationship Status","Sortable Title","Sortable Author Name","Series Author","Series Title","Relation Type","Position In Collection","Ordered","Marketplace","Relationship Creation Date","Created At","Deleted By Customer"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-10-20T04:35:37Z","2025-10-19T14:59:59Z","Not Available"
"Ali Hazelwood","Not Available","AUTHOR","Not Available","Collection Follow","Not Available","Ali Hazelwood","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-22T02:43:39Z","2025-06-23T14:59:59Z","Not Available"
"Abby Jimenez","Not Available","AUTHOR","Not Available","Collection Follow","Not Available","Abby Jimenez","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-22T02:43:39Z","2025-06-23T14:59:59Z","Not Available"
"Emily Henry","Not Available","AUTHOR","Not Available","Collection Follow","Not Available","Emily Henry","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-22T02:43:50Z","2025-06-23T14:59:59Z","Not Available"
"Elsie Silver","Not Available","AUTHOR","Not Available","Collection Follow","Not Available","Elsie Silver","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-22T02:43:54Z","2025-06-23T14:59:59Z","Not Available"
"Liz Tomforde","Not Available","AUTHOR","Not Available","Collection Follow","Not Available","Liz Tomforde","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-22T02:43:55Z","2025-06-23T14:59:59Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com.au","2025-06-24T05:24:25Z","2025-06-23T14:59:59Z","Not Available"
