ApplicationId,DeviceOSVersion,DeviceLocale,NotificationSettingLastModified,Timezone,NotificationsEnabled,KindleRecommendationsChannelEnabled,YourAccountChannelEnabled,HelpfulTipsChannelEnabled,SpecialDealsChannelEnabled,KindleDailyDealsChannelEnabled
06c76056bae64c2397af0502bfffb98c,13,en_US,2025-10-19T16:41,America/Chicago,Yes,Yes,Yes,Yes,Yes,No
DD40230DB3F34160A2E39F2E8B753EAF,26.0.1,en_US,2025-10-13T02:18,America/Chicago,Yes,Not Available,Not Available,Not Available,Not Available,Not Available
