created_timestamp,preferred_marketplace,country,device_family,ASIN
2025-08-08T18:47:13Z,www.amazon.com,,Kindle for iOS,B0D9CC3C9Y
2025-08-22T16:10:20Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-01T15:54:29Z,www.amazon.com,,Kindle for iOS,B0D5YMWD9Y
2025-10-08T02:51:09Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ
2025-10-03T03:47:16Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ
2025-08-20T00:30:53Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-21T19:14:02Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-21T02:20:09Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-08-23T15:09:27Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9
2025-07-27T19:13:22Z,www.amazon.com,,Kindle for iOS,B0D9CC3C9Y
