created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Reading Clock Setting,New Reading Clock Setting
2024-02-24T22:32:31Z,US,,Kindle for iOS,B09S1CMMBT,On,Off
2024-02-24T22:32:28Z,US,,Kindle for iOS,B09S1CMMBT,Off,On
