created_timestamp,preferred_marketplace,country,device_family,ASIN,New Aa Settings Submenu Selection
2024-03-30T01:45:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,kindle_aa_main_tabs
2024-03-30T01:45:46Z,US,US,Kindle E-reader,B07ZFZZ2GQ,kindle_aa_font_list
2024-04-07T22:02:10Z,US,US,Kindle E-reader,B00N6PD7L0,kindle_aa_main_tabs
2024-04-07T22:02:05Z,US,US,Kindle E-reader,B00N6PD7L0,kindle_aa_manage_theme
