created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2023-12-01T12:18:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-29T02:55:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-29T02:57:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:56:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-31T01:04:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:56:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T18:57:38Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-04-20T21:55:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T01:45:32Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,AaMenu,In-book,Tap
2024-04-20T21:55:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-02T01:26:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,In-book,Tap
2024-03-30T21:50:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-31T01:04:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-29T02:56:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-15T20:07:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2025-05-20T11:44:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2024-03-30T01:46:26Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Goto,In-book,Tap
2024-04-20T21:13:03Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,exitBook,In-book,Tap
2024-04-16T03:51:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_LIBRARY,Tap
2024-04-16T03:51:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T01:44:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-07-17T15:39:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-03-31T14:42:38Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-03-30T01:04:25Z,www.amazon.com,US,Kindle E-reader,Not Available,KPPPROFILES_FS_CLOSE,KPP_PROFILES_FAMILY_SHARING,Tap
2024-03-30T00:58:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-20T15:15:42Z,www.amazon.com,US,Kindle E-reader,B07CNF13KX,exitBook,In-book,Tap
2024-04-15T00:46:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T21:50:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,ReadingList,Tap
2023-12-01T12:18:29Z,www.amazon.com,US,Kindle E-reader,B0B36FKPS8,exitBook,In-book,Tap
2024-04-04T23:38:25Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,exitBook,In-book,Tap
2025-05-20T11:45:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
