created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2024-03-31T01:24:50Z,US,US,Kindle E-reader,B07ZFZZ2GQ,1287378
2024-03-31T03:58:39Z,US,US,Kindle E-reader,B07ZFZZ2GQ,2207582
2024-04-08T23:41:22Z,US,US,Kindle E-reader,B00QE1DLIC,60960
2024-04-13T13:15:45Z,US,US,Kindle E-reader,Not Available,44594
2024-04-08T14:09:23Z,US,US,Kindle E-reader,Not Available,193934
2024-04-08T02:49:31Z,US,US,Kindle E-reader,Not Available,2688589
2024-04-08T19:44:02Z,US,US,Kindle E-reader,B00O6V45CS,1137184
2024-04-02T11:00:48Z,US,US,Kindle E-reader,Not Available,4357903
2024-04-06T01:48:55Z,US,US,Kindle E-reader,Not Available,3440774
2024-04-08T18:00:50Z,US,US,Kindle E-reader,Not Available,1236031
2024-04-05T09:31:11Z,US,US,Kindle E-reader,B008WOTQGU,10686405
2024-04-07T03:59:04Z,US,US,Kindle E-reader,B00O6V45E6,145553
2024-03-30T21:51:18Z,US,US,Kindle E-reader,Not Available,189774
