created_timestamp,preferred_marketplace,device_family,card_name,card_position
2024-03-11T20:39:06Z,US,Kindle for iOS,,2
2024-03-04T10:06:10Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T12:40:04Z,US,Kindle for iOS,,5
2024-03-14T00:08:42Z,US,Kindle for iOS,More like your recent books,4
2024-03-23T02:35:14Z,US,Kindle for iOS,,5
2024-03-08T09:59:22Z,US,Kindle for iOS,Reading Insights,4
2024-03-26T18:53:21Z,US,Kindle for iOS,Reading Insights,4
2024-02-26T08:33:05Z,US,Kindle for iOS,Based on your reading,4
2024-03-31T00:35:41Z,US,Kindle for iOS,Reading Insights,4
2024-03-30T00:11:26Z,US,Kindle for iOS,More like your recent books,6
2024-03-11T06:53:58Z,US,Kindle for iOS,,8
2024-03-07T05:09:30Z,US,Kindle for iOS,Reading Insights,4
2024-02-29T19:44:36Z,US,Kindle for iOS,,2
2024-03-07T05:09:29Z,US,Kindle for iOS,More like [book title],5
2024-04-03T03:52:13Z,US,Kindle for iOS,,2
2024-03-09T06:28:37Z,US,Kindle for iOS,Reading Insights,4
2024-03-31T15:19:14Z,US,Kindle for iOS,Reading Insights,4
2024-02-25T06:33:31Z,US,Kindle for iOS,More like [book title],6
2024-04-06T18:01:47Z,US,Kindle for iOS,,2
2024-04-01T02:28:37Z,US,Kindle for iOS,Reading Insights,4
2024-03-11T03:57:55Z,US,Kindle for iOS,More like [book title],5
2024-03-28T21:22:45Z,US,Kindle for iOS,Reading Insights,4
2024-03-14T20:51:30Z,US,Kindle for iOS,,9
2024-04-07T17:50:34Z,US,Kindle for iOS,,2
2024-03-07T22:12:26Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T09:23:50Z,US,Kindle for iOS,,2
2024-04-03T18:04:00Z,US,Kindle for iOS,,16
2024-03-05T02:30:27Z,US,Kindle for iOS,Reading Insights,4
2024-03-23T20:08:32Z,US,Kindle for iOS,,2
2024-03-23T02:32:24Z,US,Kindle for iOS,Reading Insights,4
2024-03-17T01:29:07Z,US,Kindle for iOS,,2
