ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B0BHLBHG79,kindle.last_read,2024-04-02T10:58:38Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-01T21:21:30Z,2024-04-02T10:58:39Z,,Not Available,Not Available,Not Available,FALSE
B0BHLBHG79,kindle.most_recent_read,2024-04-02T11:07:43Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-01T21:21:30Z,2024-04-02T11:07:49Z,,Not Available,Not Available,Not Available,FALSE
B0BHLBHG79,kindle.continuous_read,2024-04-02T11:07:43Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-01T21:21:30Z,2024-04-02T11:07:49Z,,Not Available,Not Available,Not Available,FALSE
48940B5306CA40FAB2F4755F0AF1D6BE,kindle.last_read,2024-04-02T11:08:30Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:08:33Z,2024-04-02T11:08:33Z,,Not Available,Not Available,Not Available,FALSE
48940B5306CA40FAB2F4755F0AF1D6BE,kindle.most_recent_read,2024-04-02T11:08:30Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:08:33Z,2024-04-02T11:08:33Z,,Not Available,Not Available,Not Available,FALSE
48940B5306CA40FAB2F4755F0AF1D6BE,kindle.continuous_read,2024-04-02T11:08:30Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:08:33Z,2024-04-02T11:08:33Z,,Not Available,Not Available,Not Available,FALSE
CDBC26A7DDB347D9A0B8CA4AE08F55D2,kindle.last_read,2024-04-02T11:20:37Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:20:58Z,2024-04-02T11:20:58Z,,Not Available,Not Available,Not Available,FALSE
CDBC26A7DDB347D9A0B8CA4AE08F55D2,kindle.most_recent_read,2024-04-02T11:20:37Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:20:58Z,2024-04-02T11:20:58Z,,Not Available,Not Available,Not Available,FALSE
CDBC26A7DDB347D9A0B8CA4AE08F55D2,kindle.continuous_read,2024-04-02T11:20:37Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:20:58Z,2024-04-02T11:20:58Z,,Not Available,Not Available,Not Available,FALSE
26855A002A7C4165A4B974B523E3F57D,kindle.last_read,2024-04-02T11:32:12Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:26:12Z,2024-04-02T11:32:23Z,,Not Available,Not Available,Not Available,FALSE
26855A002A7C4165A4B974B523E3F57D,kindle.most_recent_read,2024-04-02T11:32:12Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:26:12Z,2024-04-02T11:32:23Z,,Not Available,Not Available,Not Available,FALSE
26855A002A7C4165A4B974B523E3F57D,kindle.continuous_read,2024-04-02T11:32:12Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:26:12Z,2024-04-02T11:32:23Z,,Not Available,Not Available,Not Available,FALSE
5BEA93B92BE3430FB2DF09D918F5365C,kindle.bookmark,2024-04-02T14:03:31Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T14:03:31Z,2024-04-02T14:03:34Z,,Not Available,Not Available,Not Available,TRUE
5BEA93B92BE3430FB2DF09D918F5365C,kindle.last_read,2024-04-02T14:04:21Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:33:42Z,2024-04-02T14:04:25Z,,Not Available,Not Available,Not Available,FALSE
5BEA93B92BE3430FB2DF09D918F5365C,kindle.most_recent_read,2024-04-02T21:32:03Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:33:42Z,2024-04-02T21:32:07Z,,Not Available,Not Available,Not Available,FALSE
5BEA93B92BE3430FB2DF09D918F5365C,kindle.continuous_read,2024-04-02T21:32:03Z,64A32768C3794A7CA443A2368E83E905,PDOC,YJBinary,2024-04-02T11:33:42Z,2024-04-02T21:32:07Z,,Not Available,Not Available,Not Available,FALSE
B06XWR6BC3,kindle.last_read,2024-04-04T17:34:19Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T21:35:05Z,2024-04-04T17:34:22Z,,Not Available,Not Available,Not Available,FALSE
B06XWR6BC3,kindle.most_recent_read,2024-04-04T17:34:19Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T21:35:05Z,2024-04-04T17:34:22Z,,Not Available,Not Available,Not Available,FALSE
B06XWR6BC3,kindle.continuous_read,2024-04-04T17:34:19Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T21:35:05Z,2024-04-04T17:34:22Z,,Not Available,Not Available,Not Available,FALSE
B075VCGDC3,audible.last_heard,2024-04-04T17:34:22Z,Not Available,AUDI,AAX_22,2024-03-29T21:35:08Z,2024-04-04T17:34:23Z,,Not Available,Not Available,Not Available,FALSE
B01M98D4TM,kindle.last_read,2024-04-04T19:07:17Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-04T19:06:47Z,2024-04-04T19:07:21Z,,Not Available,Not Available,Not Available,FALSE
B01M98D4TM,kindle.most_recent_read,2024-04-04T21:48:00Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-04T19:06:47Z,2024-04-04T21:48:00Z,,Not Available,Not Available,Not Available,FALSE
B01M98D4TM,kindle.continuous_read,2024-04-04T21:48:00Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-04T19:06:47Z,2024-04-04T21:48:00Z,,Not Available,Not Available,Not Available,FALSE
B0BJJTTM8K,kindle.last_read,2024-04-04T13:48:05Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-03T06:20:13Z,2024-04-04T13:48:09Z,,Not Available,Not Available,Not Available,FALSE
B0BJJTTM8K,kindle.most_recent_read,2024-04-04T23:38:25Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-03T06:20:13Z,2024-04-04T23:38:26Z,,Not Available,Not Available,Not Available,FALSE
B0BJJTTM8K,kindle.continuous_read,2024-04-04T23:38:25Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-03T06:20:13Z,2024-04-04T23:38:26Z,,Not Available,Not Available,Not Available,FALSE
B008WOTQGU,kindle.bookmark,2024-04-05T11:49:00Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-05T11:49:00Z,2024-04-05T11:52:16Z,,Not Available,Not Available,Not Available,TRUE
B008WOTQGU,kindle.last_read,2024-04-05T13:45:51Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-04T21:48:32Z,2024-04-05T13:46:17Z,,Not Available,Not Available,Not Available,FALSE
B008WOTQGU,kindle.most_recent_read,2024-04-06T00:51:39Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-04T21:48:32Z,2024-04-06T00:51:40Z,,Not Available,Not Available,Not Available,FALSE
B008WOTQGU,kindle.continuous_read,2024-04-06T00:51:39Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-04T21:48:32Z,2024-04-06T00:51:40Z,,Not Available,Not Available,Not Available,FALSE
B00AXIZ5MC,kindle.highlight,2024-04-05T17:03:02Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-05T17:15:56Z,2024-04-05T17:15:56Z,{mchl_color:yellow},Not Available,Not Available,Not Available,FALSE
