"Start Date","End Date","Event Duration Milliseconds","Start Position Milliseconds","End Position Milliseconds","Product Name","ASIN","Book Length Milliseconds","Delivery Type","Narration Speed","Bookmark","Audio Type","Asin Owned","Listening Mode","Store","App Version","Local Timezone"
"2025-10-06","2025-10-06","177943","27628463","27841487","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","142359","27457611","27627948","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","129731","27302072","27457249","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","396251","26826682","27301686","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","104759","26701053","26826263","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","207626","26452053","26700694","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","50522","26391547","26451676","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","364253","25954656","26391260","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","84180","25853986","25954502","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","285634","25511297","25853550","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","192490","25280695","25511184","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","82981","25179904","25278980","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","278155","24846545","25179832","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","5159","24840445","24846507","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","4262","24835361","24840443","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","77887","24742305","24835360","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","398629","24264193","24742045","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","267888","23942840","24263811","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","342743","23530416","23941204","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","90930","23421775","23530394","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","466169","22862436","23421348","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","42369","22811105","22861454","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","182009","22592855","22810747","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","387342","22128756","22592783","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","8780","23404511","23414774","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","767762","22483006","23404506","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","345418","22069076","22483006","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","849034","21050648","22069065","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","14460","21003787","21020648","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1740","21032210","21033786","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1723","21060649","21062210","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1736","21089069","21090649","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1738","21117488","21119069","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1614","21146048","21147488","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1687","21174496","21176048","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1776","21202899","21204496","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1342","21231802","21232899","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","1344","21260703","21261802","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","3256","21287209","21290699","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","6195","21280201","21287208","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","2730","21277728","21280199","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","355894","20850945","21277727","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-06","2025-10-06","3183","17415416","17418663","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","43823","11002283","11054479","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","39637","10952023","10999096","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","697646","10114814","10951470","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","56848","10047069","10114750","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","672392","9240763","10047069","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","163759","9044554","9240573","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","142497","8873276","9044300","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","7322","8867382","8873275","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-05","2025-10-05","19647","8843823","8867181","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","215707","11829450","12087891","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","236169","11546010","11828918","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","320752","11161043","11545445","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","60497","11088714","11160806","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","71331","11002283","11087381","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
