Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2024-04-21T23:04:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-17T01:23:08Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-03-30T01:44:06Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-07T18:20:01Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0
2024-04-08T15:30:42Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS
2024-03-30T01:45:09Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ
2024-07-18T18:02:09Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-28T00:22:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-17T01:29:55Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-31T15:31:27Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3
2024-04-22T03:13:11Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P
2024-03-30T19:52:06Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-21T23:05:08Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T22:25:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-13T16:12:39Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T19:12:31Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS
2024-03-30T01:45:10Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ
2024-03-30T19:47:10Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T22:50:33Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-06T00:52:18Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-10T02:50:27Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T15:28:43Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T00:54:01Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T14:16:43Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-09T00:49:39Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC
2024-03-31T15:16:51Z,www.amazon.com,US,Kindle E-reader,Not Available
2025-05-20T11:43:53Z,www.amazon.com,US,Kindle E-reader,Not Available
2025-05-20T11:45:15Z,www.amazon.com,US,Kindle E-reader,Not Available
