Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2024-04-02T01:27:48Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T02:11:38Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T08:32:31Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-04-07T17:52:49Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-31T15:31:22Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3
2024-04-24T02:06:09Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-06T16:50:56Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T22:50:26Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T01:43:19Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-04-07T18:20:03Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0
2024-03-30T18:57:32Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-11T00:55:04Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-06T02:19:16Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T02:48:37Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-04-11T00:55:35Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI
2024-04-08T19:12:38Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS
2024-04-06T20:22:49Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T00:52:56Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT
2024-03-31T01:05:29Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-02T03:49:45Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79
2024-04-08T01:51:04Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0
2024-04-02T01:28:21Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79
2024-04-08T22:51:12Z,www.amazon.com,US,Kindle E-reader,Not Available
