created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-03-04T09:18:32Z,US,Not Available,Kindle for iOS,B01N7GREG9,Before You Go BSE,Reach end of book,2024-03-04T09:18:30Z,2024-03-04T09:18:32Z,KFX
2024-03-07T03:57:21Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Before You Go BSE,Reach end of book,2024-03-07T03:57:18Z,2024-03-07T03:57:21Z,KFX
2024-02-24T08:49:28Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-02-24T08:49:25Z,2024-02-24T08:49:28Z,KFX
2024-03-05T14:53:13Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Before You Go BSE,Reach end of book,2024-03-05T14:53:10Z,2024-03-05T14:53:13Z,KFX
2024-03-11T12:50:49Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,About This Book BSE,Click on About This Book,2024-03-11T12:50:03Z,2024-03-11T12:50:49Z,KFX
2024-03-03T07:27:40Z,US,Not Available,Kindle for iOS,B091SLLP6H,Before You Go BSE,Reach end of book,2024-03-03T07:27:34Z,2024-03-03T07:27:40Z,KFX
2024-03-11T06:00:26Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Before You Go BSE,Reach end of book,2024-03-11T06:00:12Z,2024-03-11T06:00:26Z,KFX
2024-03-08T18:59:19Z,US,Not Available,,B09PNM8FFN,About This Book BSE,Open the book,2024-03-08T18:59:16Z,2024-03-08T18:59:19Z,KFX
2024-04-05T13:46:15Z,US,Not Available,Kindle for iOS,B008WOTQGU,Before You Go BSE,Reach end of book,2024-04-05T13:45:50Z,2024-04-05T13:46:15Z,KFX
2024-03-08T09:22:07Z,US,Not Available,Kindle for iOS,B083TZV25B,Before You Go BSE,Reach end of book,2024-03-08T09:21:42Z,2024-03-08T09:22:07Z,KFX
2024-03-30T00:44:16Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,About This Book BSE,Click on About This Book,2024-03-30T00:44:03Z,2024-03-30T00:44:16Z,KFX
2024-03-23T20:43:08Z,US,Not Available,Kindle for iOS,B00V3MY1IQ,Before You Go BSE,Reach end of book,2024-03-23T20:42:57Z,2024-03-23T20:43:08Z,KFX
2024-03-05T01:51:25Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Before You Go BSE,Reach end of book,2024-03-05T01:51:17Z,2024-03-05T01:51:25Z,KFX
2024-03-08T18:58:38Z,US,Not Available,,B07B9WH8KT,About This Book BSE,Open the book,2024-03-08T18:58:35Z,2024-03-08T18:58:38Z,KFX
2024-03-16T14:40:56Z,US,Not Available,Kindle for iOS,B01BU2NFTO,Before You Go BSE,Reach end of book,2024-03-16T14:40:44Z,2024-03-16T14:40:56Z,KFX
2024-04-04T21:49:50Z,US,Not Available,Kindle for iOS,B008WOTQGU,About This Book BSE,Click on About This Book,2024-04-04T21:49:49Z,2024-04-04T21:49:50Z,KFX
