ASIN,event_occurrence_time,product_name
B07B9WH8KT,2024-03-11T05:58:59Z,Part-Time Husband (Trophy Husbands Book 1)
B0188332MI,2024-03-04T10:05:12Z,Long Way Down (Addicted Series)
