marketplace,source_type,type,Subscription Type,Subscription ID,benefit_type,start_time,end_time
US,Subscription,KINDLE_UNLIMITED,ALL_YOU_CAN_READ,D9AAAQBNDQYZQJJ79NB1,SUBSCRIPTION_BENEFIT,02/24/2024 02:55,04/25/2024 03:05
US,Subscription,KINDLE_UNLIMITED,FREE_AUDIBLE_COMPANION,D9AAAQBNDQYZQJJ79NB1,AUDIBLE_BENEFIT,02/24/2024 02:55,04/25/2024 03:05
