Created Timestamp,preferred_marketplace_id,Country,device_family,Setup Flow,Page ID,Language Code,Metric Name,Metric Value
2024-03-29T02:44:57.573Z,US,US,Kindle E-reader,User Guided Setup,Welcome screen after successful registration,Not Available,Page shown,Success
2024-03-30T21:50:18.357Z,US,US,Kindle E-reader,Not Applicable,Home,Not Available,Tutorial Shown,Setup start
2024-03-29T02:45:13.952Z,US,US,Kindle E-reader,User Guided Setup,Setup start,Not Available,Setup end,Not Applicable
2024-03-29T02:44:57.490Z,US,US,Kindle E-reader,User Guided Setup,Connected to phone,Not Available,Page exit,Try again
2024-03-29T02:45:12.665Z,US,US,Kindle E-reader,User Guided Setup,Kid Friendly Choice,Not Available,Sign-in option selected within page,No Thanks
2024-03-29T02:45:00.770Z,US,US,Kindle E-reader,User Guided Setup,Connected to phone,Not Available,Registration Success,Phone connect success
2024-03-29T02:45:06.258Z,US,US,Kindle E-reader,User Guided Setup,Welcome screen after successful registration,Not Available,Page exit,Next
