Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-19T12:43:42Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T21:45:59Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-24T04:35:26Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T03:13:19Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T22:32:55Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,1810,Audible
2024-03-22T15:33:09Z,US,,,,Inbook Mini Player,Pause,Vertical Scroll View,658,Audible
2024-03-27T03:04:19Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-05T04:21:13Z,US,,Kindle for iOS,B07QNKVR3N,Inbook Mini Player,Pause,Vertical Scroll View,0,Audible
2024-03-20T12:50:50Z,US,,Kindle for iOS,,Out of App,Play,Paginated View,0,Audible
2024-03-01T23:16:37Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Pause,Vertical Scroll View,1154,Audible
2024-03-19T01:17:42Z,US,,Kindle for iOS,B008673ZAQ,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-21T17:43:55Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T21:11:17Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T01:14:07Z,US,,Kindle for iOS,B008673ZAQ,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-20T23:03:03Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-22T22:11:28Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-21T03:54:56Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-22T20:54:28Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-23T19:29:05Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Pause,Vertical Scroll View,1793,Audible
2024-03-25T15:34:49Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T08:16:41Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T11:16:09Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,2,Audible
2024-03-21T08:23:10Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
