record-type,series-ASIN,series-product-name,customer-owned-item-count-in-series,item-ASIN,item-product-name,item-position-in-series,record-created-by,record-updated-by,time-of-latest-acquisition-of-series-in-utc
Item,B0CM956N3B,The Ruinous Love Trilogy,Not Applicable,B0CNGBQRC5,Leather & Lark: The Ruinous Love Trilogy,1,Customer Ownership,Internal Process,2024-07-06T18:51:01.991Z
Item,B07FKCSBC9,Chicago Law,Not Applicable,B07CNF13KX,Smitten with the Best Man (Chicago Law Book 1),0,Customer Ownership,Internal Process,2024-04-18T17:26:33.037Z
Series,B07FKCSBC9,Chicago Law,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-04-18T17:26:33.037Z
Item,B0CXTB7R9H,First Impressions,Not Applicable,B0CW1KRY9H,The Fix Up: 2nd Edition – originally published 2015 (First Impressions Book 1),0,Customer Ownership,Internal Process,2024-04-18T17:26:02.828Z
Series,B0CXTB7R9H,First Impressions,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-04-18T17:26:02.828Z
Item,B0CM956N3B,The Ruinous Love Trilogy,Not Applicable,B0CL1C4PM4,Butcher & Blackbird (The Ruinous Love Trilogy Book 1),0,Customer Ownership,Internal Process,2024-04-17T01:24:46.526Z
Item,B0836GG3GW,The Kiss Quotient,Not Applicable,B075HXST4P,The Kiss Quotient,0,Customer Ownership,Internal Process,2024-04-11T20:29:28.740Z
Series,B0836GG3GW,The Kiss Quotient,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-04-11T20:29:28.740Z
Item,B082HX3SXW,Stark International Security,Not Applicable,B01L7Q54NI,Tempt Me: A Stark International Security Novella,1,Customer Ownership,Internal Process,2024-04-06T19:59:31.749Z
Item,B082HX3SXW,Stark International Security,Not Applicable,B00H57X864,Tame Me: A Stark International Security Novella (Stark International Trilogy Book 1),0,Customer Ownership,Internal Process,2024-04-06T19:59:31.749Z
Series,B082HX3SXW,Stark International Security,3,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-04-06T19:59:31.749Z
Item,B082HX3SXW,Stark International Security,Not Applicable,B081LMVMDP,Tease Me: A Stark International Security Novel,2,Customer Ownership,Internal Process,2024-04-06T19:59:31.746Z
Item,B09N7NVYPZ,Hacker,Not Applicable,B00V3MY186,Hard Limit: The Hacker Series #4,3,Customer Ownership,Internal Process,2024-03-25T00:43:39.058Z
Series,B09N7NVYPZ,Hacker,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-03-25T00:43:39.058Z
Item,B09PL8B1CW,Crossfire,Not Applicable,B00NEQRNVG,"Captivated By You (Crossfire, Book 4)",3,Customer Ownership,Internal Process,2024-03-18T04:00:05.265Z
Series,B09PL8B1CW,Crossfire,5,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-03-18T04:00:05.265Z
Item,B09PL8B1CW,Crossfire,Not Applicable,B008UCJ7KO,"Entwined with You (Crossfire, Book 3)",2,Customer Ownership,Internal Process,2024-03-18T04:00:05.209Z
Item,B09PL8B1CW,Crossfire,Not Applicable,B0183KJZE0,One with You (Crossfire Series Book 5),4,Customer Ownership,Internal Process,2024-03-18T04:00:05.199Z
Item,B09PL8B1CW,Crossfire,Not Applicable,B00846REIS,"Bared to You (Crossfire, Book 1)",0,Customer Ownership,Internal Process,2024-03-18T04:00:05.193Z
Item,B09PL8B1CW,Crossfire,Not Applicable,B008673ZAQ,"Reflected in You (Crossfire, Book 2)",1,Customer Ownership,Internal Process,2024-03-18T04:00:05.191Z
Item,B08Y7CKGY9,Synergy Office Romance,Not Applicable,B08Y758VM1,Work with Me: An Enemies-to-Lovers Standalone Office Romance (Synergy Office Romance Book 1),0,Customer Ownership,Internal Process,2024-03-08T17:24:36.075Z
Series,B08Y7CKGY9,Synergy Office Romance,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2024-03-08T17:24:36.075Z
Item,B07VWR6FML,What to Expect When You're Expecting,Not Applicable,B00KVRDACW,What to Expect the First Year: (Updated in 2025),2,Customer Ownership,Internal Process,2022-04-30T15:58:24.078Z
Series,B07VWR6FML,What to Expect When You're Expecting,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2022-04-30T15:58:24.078Z
Item,B07SKCM1D8,The Handmaid's Tale,Not Applicable,B003JFJHTS,The Handmaid's Tale,0,Internal Process,Internal Process,2018-07-30T00:14:38.880Z
Series,B07SKCM1D8,The Handmaid's Tale,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2018-07-30T00:14:38.880Z
Item,B07FK9VBD7,You Don't Know Js,Not Applicable,B00IV3J2A2,You Don't Know JS: Scope & Closures,0,Internal Process,Internal Process,2018-02-13T20:10:53.191Z
Series,B07FK9VBD7,You Don't Know Js,2,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2018-02-13T20:10:53.191Z
Item,B07FK9VBD7,You Don't Know Js,Not Applicable,B00V20DQU8,You Don't Know JS: Up & Going,2,Internal Process,Internal Process,2018-02-08T15:10:23.473Z
Item,B08RCKTJS4,CLEP Test Preparation,Not Applicable,B00CRWLKS0,CLEP® History of the U.S. I Book + Online (CLEP Test Preparation),26,Internal Process,Internal Process,2017-07-24T19:05:19.882Z
Series,B08RCKTJS4,CLEP Test Preparation,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2017-07-24T19:05:19.882Z
Item,B09C2H6V3K,House of Cards Trilogy,Not Applicable,B00I8VPBQQ,House of Cards (House of Cards Series Book 1),0,Internal Process,Internal Process,2015-01-02T17:32:35.672Z
Series,B09C2H6V3K,House of Cards Trilogy,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2015-01-02T17:32:35.672Z
Item,B0F94J6H31,A Penguin Classics Hardcover,Not Applicable,B000JQUHLC,The Communist Manifesto,4,Internal Process,Internal Process,2013-02-09T23:24:35Z
Item,B08GSJNP7S,Bedford History and Culture,Not Applicable,B000JQUHLC,The Communist Manifesto,21,Internal Process,Internal Process,2013-02-09T23:24:35Z
Series,B0F94J6H31,A Penguin Classics Hardcover,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2013-02-09T23:24:35Z
Series,B08GSJNP7S,Bedford History and Culture,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2013-02-09T23:24:35Z
