created_timestamp,preferred_marketplace,country_code,device_family,ASIN,action,Entry Point
2025-07-26T22:06:58Z,www.amazon.com,Not Available,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,NotebookOpened,FullWindowNotebook
2025-04-23T03:07:05Z,www.amazon.com,Not Available,Kindle for iOS,B0CR1N7YGX,NotebookClosed,FullWindowNotebook
2024-12-11T22:43:26Z,www.amazon.com,Not Available,Kindle for iOS,B0C44DX85D,GoToBookmark,FullWindowNotebook
2025-05-20T05:11:31Z,www.amazon.com,Not Available,Kindle for iOS,B0DGCLB3X3,Before You Go Annotations Shown,BeforeYouGo
2024-12-07T08:20:49Z,www.amazon.com,Not Available,Kindle for iOS,B07G6M9HDV,NotebookClosed,FullWindowNotebook
2024-11-23T10:12:00Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go Annotations Shown,BeforeYouGo
2025-02-02T01:31:41Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,GoToBookmark,FullWindowNotebook
2024-12-29T17:52:19Z,www.amazon.com,Not Available,Kindle for iOS,B00TU3BTUI,NotebookClosed,FullWindowNotebook
2025-06-23T00:03:53Z,www.amazon.com,Not Available,Kindle for iOS,B0DFGDFM4V,NotebookOpened,FullWindowNotebook
2025-02-02T03:11:41Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,NotebookOpened,FullWindowNotebook
2024-12-17T17:11:33Z,www.amazon.com,Not Available,Kindle for iOS,B0C451CF7Z,Before You Go Annotations Shown,BeforeYouGo
2025-01-25T17:35:54Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1FKFB9,NotebookClosed,FullWindowNotebook
2025-04-13T22:45:54Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go Annotations Shown,BeforeYouGo
2024-12-11T23:01:18Z,www.amazon.com,Not Available,Kindle for iOS,B0C44DX85D,NotebookOpened,FullWindowNotebook
2025-01-21T06:01:47Z,www.amazon.com,Not Available,Kindle for iOS,B0CKBX1G7X,Before You Go Annotations Shown,BeforeYouGo
2024-12-13T15:36:31Z,www.amazon.com,Not Available,Kindle for iOS,B0C44CFZPD,NotebookClosed,FullWindowNotebook
2025-04-11T02:32:46Z,www.amazon.com,Not Available,Kindle for iOS,B0D1PC9FHN,Before You Go Annotations Shown,BeforeYouGo
2025-02-02T03:10:41Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,NotebookOpened,FullWindowNotebook
