Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2024-03-18T21:27:44Z,US,iOS,B00846REIS,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B00846REIS,Yes,Yes,Invoked By Book Menu,No,read
2024-03-16T01:03:48Z,US,iOS,B07XQK3SGQ,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B07XQK3SGQ,Yes,Yes,Invoked By Book Menu,No,read
2024-03-16T08:52:05Z,US,iOS,B017S3J3X6,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B017S3J3X6,Yes,Yes,Invoked By Book Menu,No,read
2024-03-28T02:24:39Z,US,iOS,B0BC16PP4Z,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0BC16PP4Z,Yes,Yes,Invoked By Book Menu,No,read
2024-03-26T03:58:28Z,US,iOS,B07Y82JMF8,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B07Y82JMF8,Yes,Yes,Invoked By Book Menu,No,read
2024-03-13T19:40:23Z,US,iOS,B08266V1T2,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B08266V1T2,Yes,Yes,Invoked By Book Menu,No,read
2024-03-17T20:19:18Z,US,iOS,B0757CRTLY,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0757CRTLY,Yes,Yes,Invoked By Book Menu,No,read
2024-03-23T00:49:11Z,US,iOS,B0CHWQPB49,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0CHWQPB49,Yes,Yes,Invoked By Book Menu,No,read
2024-03-04T06:19:39Z,US,iOS,B01MTZDCUN,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01MTZDCUN,Yes,Yes,Invoked By Book Menu,No,read
2024-03-03T07:25:24Z,US,iOS,B09X6KD3CS,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B09X6KD3CS,Yes,Yes,Invoked By Book Menu,No,read
2024-04-01T19:09:07Z,US,iOS,B09Z7BYZS3,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B09Z7BYZS3,Yes,Yes,Invoked By Book Menu,No,read
2024-03-27T11:10:08Z,US,iOS,B08X472VK3,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B08X472VK3,Yes,Yes,Invoked By Book Menu,No,read
2024-03-03T07:26:13Z,US,iOS,B0BDW9C3JY,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0BDW9C3JY,Yes,Yes,Invoked By Book Menu,No,read
