ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,,2024-02-24T18:50:01Z,US,Kindle for iOS,B0BNJMJ4K9,5,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191412106
Not Available,,2024-03-05T15:26:49Z,US,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412234
Not Available,,2024-03-28T21:24:11Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-29T20:56:33Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-02-24T02:50:20Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-03-17T01:29:25Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-04-04T18:23:39Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412618
Not Available,,2024-04-15T04:07:48Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-04-04T18:23:41Z,US,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-04-08T02:05:00Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412618
Not Available,,2024-03-10T18:51:59Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-04-14T03:58:38Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-03-03T07:30:03Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-03-31T15:19:02Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-28T21:23:00Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-11T06:54:30Z,US,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-02-29T00:22:53Z,US,Kindle for iOS,B0CFDCMPVC,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-03-30T00:38:18Z,US,Kindle for iOS,B0CVRZZV88,8,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412490
Not Available,,2024-04-11T21:25:02Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-04-04T21:48:09Z,US,Kindle for iOS,,1,2,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.1,1191412618
Not Available,,2024-03-28T21:24:21Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-16T01:31:08Z,US,Kindle for iOS,B09NL6J4D6,4,7,QUICKVIEW,tap,BOOK_ENTITY_LIST.6,1191412234
Not Available,,2024-02-24T02:50:15Z,US,Kindle for iOS,,4,1,CATEGORY,click,WEBVIEW_1,1191412106
Not Available,,2024-02-25T23:57:56Z,US,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-03-29T02:53:53Z,US,Kindle for iOS,,12,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-11T07:04:58Z,US,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-02-26T00:13:18Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412106
Not Available,,2024-02-24T02:41:06Z,US,Kindle for iOS,,4,1,QUICKVIEW,tap,WEBVIEW_1,1191412106
Not Available,,2024-03-28T21:22:47Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-02-25T06:33:35Z,US,Kindle for iOS,B08K62VYDJ,5,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412106
Not Available,,2024-04-09T18:41:10Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-04-04T19:45:17Z,US,Kindle for iOS,B08C7ZR2JZ,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412618
Not Available,,2024-03-07T04:51:06Z,US,Kindle for iOS,B0CL1C4PM4,7,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191412234
Not Available,,2024-04-14T03:59:03Z,US,Kindle for iOS,B0CNGBQRC5,6,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412746
