created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-09-01T15:58:54Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Open selection highlight menu,1,false
2025-09-16T13:06:29Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,31,false
2025-10-01T13:14:02Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Dismiss,1,false
2025-09-03T21:28:24Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Open selection highlight menu,1,false
2025-10-06T18:22:11Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Open selection highlight menu,22,false
2025-08-09T22:33:34Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Open selection highlight menu,1,false
2025-09-30T00:04:03Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Dismiss,35,false
2025-08-17T13:52:10Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Remove highlight,16,false
2025-09-19T21:19:29Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,4,false
2025-09-16T04:24:29Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Open selection highlight menu,17,false
2025-09-11T12:52:02Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,8,false
2025-09-05T01:40:09Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Dismiss,2,false
2025-09-22T03:58:11Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Dismiss,1,false
2025-07-17T12:12:40Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Remove highlight,17,false
2025-07-26T22:28:08Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Open selection highlight menu,24,false
2025-09-26T13:46:38Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Open selection highlight menu,1,false
2025-08-26T17:08:37Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Open selection highlight menu,39,false
2025-08-30T17:23:35Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Open selection highlight menu,1,false
