DeviceSerialNumber,LastUpdateDate,CreationDate
G090LF11747408PH,2019-06-23T03:33:33.834Z,2019-06-23T03:33:33.834Z
G0911B05924309W3,2019-07-20T20:22:32.172Z,2019-07-20T20:22:32.172Z
