created_timestamp,country,preferred_marketplace,device_family,active_ASIN,action,number_of_items_selected
2025-05-31T03:43:10Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,ReturnBook,2
2025-05-31T03:45:30Z,Not Available,www.amazon.com,Kindle for iOS,Not Available,ReturnBook,40
