created_timestamp,preferred_marketplace,device_family,card_name,item_clicked_on_ASIN,card_position,item_position_within_card
2025-10-07T01:19:28Z,www.amazon.com,Kindle for Android,,B0DWLNDVJS,4,4
2025-10-05T21:05:37Z,www.amazon.com,Kindle for Android,,B0DCG89SDJ,2,1
2025-10-05T20:34:05Z,www.amazon.com,Kindle for Android,,B0DCG89SDJ,2,1
