created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-07-18T18:27:38Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-14T08:38:41Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-29T08:38:28Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-30T02:02:25Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-05-09T08:32:15Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-20T15:40:09Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T18:02:45Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-02T04:26:01Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,ACTIVE,SCREEN SAVER
2024-04-16T03:52:53Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-15T00:47:52Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T22:06:31Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-11T03:36:51Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-19T08:32:15Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-16T01:08:36Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,SCREEN SAVER,ACTIVE
2024-07-18T18:02:00Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-06T15:05:20Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-02T08:34:11Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-25T02:51:01Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-06T08:39:25Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T08:33:15Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-06T15:07:13Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,SCREEN SAVER,ACTIVE
2024-04-17T01:06:50Z,www.amazon.com,US,Kindle E-reader,B075HXST4P,SCREEN SAVER,ACTIVE
2024-04-21T21:18:46Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-07T08:32:13Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-31T12:48:39Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-10T01:42:32Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-30T21:51:18Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-04T03:11:14Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-22T00:36:49Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-04-04T23:38:12Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,SCREEN SAVER,ACTIVE
2024-04-13T13:16:45Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T23:41:50Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-04-08T23:39:28Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-04-06T22:47:52Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-11T01:29:10Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,ACTIVE,SCREEN SAVER
2024-04-23T05:55:40Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,SCREEN SAVER,ACTIVE
2024-04-26T02:50:59Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T08:32:14Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-04T08:34:06Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-08T14:10:23Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T15:41:12Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,SCREEN SAVER,ACTIVE
2024-04-20T20:51:22Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T22:38:52Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T00:14:29Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-07T17:52:20Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T00:12:34Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-04-09T01:10:22Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-03-30T08:34:07Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-03-31T15:13:18Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-21T02:51:07Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T17:40:01Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-21T23:54:29Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-04-15T20:18:47Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-21T23:37:35Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-30T08:32:13Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-07-17T15:42:28Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-05T06:33:05Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T01:45:22Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-15T08:37:04Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T08:34:06Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T00:45:47Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-15T20:17:47Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-07T19:15:13Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-07-19T15:47:05Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-05T09:34:59Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,ACTIVE,SCREEN SAVER
2024-04-07T02:51:29Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T20:18:50Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,SCREEN SAVER,ACTIVE
2024-04-22T04:35:01Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,ACTIVE,SCREEN SAVER
2024-04-09T02:16:41Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-03-30T07:15:21Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,ACTIVE,SCREEN SAVER
2024-04-08T15:37:12Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-10T08:38:11Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T22:04:04Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-16T03:54:48Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-21T21:06:38Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-15T08:33:13Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-05-09T08:38:13Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,SCREEN SAVER,ACTIVE
2024-04-11T01:31:05Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-12T08:34:25Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-03-31T20:51:37Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-07T02:53:04Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-24T03:14:02Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,SCREEN SAVER,ACTIVE
2024-07-20T16:30:02Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-08T23:41:43Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-03-30T05:39:14Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-07-18T15:48:42Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-21T21:17:51Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-17T01:26:58Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,SCREEN SAVER,ACTIVE
2024-04-06T11:19:21Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-07T08:32:10Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T14:06:09Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T21:37:45Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-02T04:28:54Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T01:12:18Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-20T15:29:01Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,ACTIVE,SCREEN SAVER
2024-05-04T08:37:20Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-06T13:05:05Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-02T08:33:13Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,SCREEN SAVER,ACTIVE
2024-04-22T08:33:12Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T03:02:00Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T04:18:29Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-26T08:33:13Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-04T02:53:09Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-03-31T05:40:06Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T23:31:52Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,ACTIVE,SCREEN SAVER
2024-04-07T04:00:04Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-04-07T02:32:00Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-04-20T22:07:27Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-20T01:35:40Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T16:51:23Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,ACTIVE
2024-04-23T08:32:15Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-18T08:32:15Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-12T02:52:57Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-28T08:37:32Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-04T03:53:08Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,ACTIVE,SCREEN SAVER
2024-04-05T01:26:51Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-20T20:50:26Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-10T08:34:10Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-21T20:53:39Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T14:11:18Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-20T15:34:31Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,SCREEN SAVER,ACTIVE
2024-04-09T00:49:29Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-03T08:34:49Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-25T08:32:14Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-06T15:05:21Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,SCREEN SAVER,ACTIVE
2024-04-22T02:54:18Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,SCREEN SAVER,ACTIVE
2024-05-11T08:34:48Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-08T22:37:57Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
