created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2025-09-14T19:32:41Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,1819
2025-10-06T09:07:38Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,2
2025-10-04T08:09:43Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,4002
2025-09-14T23:33:43Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,0
2025-09-14T21:08:36Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,21
2025-10-06T09:45:19Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,4
2025-10-06T10:38:23Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
2025-09-15T00:20:53Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,9
2025-10-06T03:19:13Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,out_of_app,narration,not_applicable,4
2025-10-06T03:52:44Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
