Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-08-14T15:51:30Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-14T15:39:04Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-12T19:32:03Z,www.amazon.com,B0FBMM3SCD,,"""Not Applicable""","""Not Applicable""",64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-12T18:58:45Z,www.amazon.com,B0FBMM3SCD,,"""Not Applicable""","""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-09T22:03:17Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-09T22:03:16Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-09T21:07:10Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/amazonbookreview/editorspicks.html?theme=light,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-09T18:40:07Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/amazonbookreview/editorspicks.html?theme=light,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-07T19:28:26Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/firstreads,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-07T18:59:00Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/firstreads,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-07T15:59:22Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-07T15:37:38Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-06T18:30:03Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-06T16:44:59Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-05T17:11:28Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/b?ie=UTF8&node=9014217011&ref_=sumred_25,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-08-02T15:24:52Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-08-02T15:17:38Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-31T19:43:33Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-31T19:38:34Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-30T15:19:36Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/275c9382-d26f-4f19-bb66-a7c65de79f3b?ref=kc-su-pm-cp,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-30T15:12:16Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/275c9382-d26f-4f19-bb66-a7c65de79f3b?ref=kc-su-pm-cp,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-26T16:00:27Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-26T15:22:15Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
