created_timestamp,preferred_marketplace,country,device_family,ASIN,setting_name,setting_value,is_setting_changed_by_user
2024-03-29T02:52:44Z,US,US,Kindle E-reader,Not Available,Warmth Schedule Mode,Manual,No
2024-03-29T02:52:45Z,US,US,Kindle E-reader,Not Available,Keyboard Selected Languages,[en_US],No
2024-03-29T02:52:45Z,US,US,Kindle E-reader,Not Available,Device Language,English (United States),No
