created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2024-03-19T04:29:18Z,B008673ZAQ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-02T19:19:24Z,B09QY2KWKY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-08T03:06:33Z,B083TZV25B,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-02T14:59:41Z,B09QY2KWKY,SelectedTextMenu,ChangeColorOfHighlight,pink,,Off,,Kindle for iOS,Not Available,US
2024-03-12T05:43:54Z,B09P5GT746,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-16T09:17:14Z,B01BU2NFTO,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-26T16:55:53Z,B0BCZWC3QZ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-26T13:28:12Z,B0BCZWC3QZ,QuickHighlight,EditHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-03-19T03:56:13Z,B008673ZAQ,QuickHighlight,AddHighlight,Not Available,No,Off,15,Kindle for iOS,Not Available,US
2024-03-07T19:43:56Z,B083TZV25B,QuickHighlight,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-13T12:53:24Z,B08266PLCC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-25T19:41:27Z,B0B232HFC9,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-31T15:31:27Z,B09Z7BYZS3,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,US
2024-03-05T03:55:40Z,B07QNKVR3N,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-25T03:03:09Z,B09S1CMMBT,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-02-26T04:43:43Z,B09HLCTYZ8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T06:22:45Z,B0CB1RMZRC,QuickHighlight,AddHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-03-25T14:25:32Z,B00W22ITCU,QuickHighlight,AddHighlight,Not Available,No,Off,10,Kindle for iOS,Not Available,US
2024-03-26T15:23:48Z,B0BCZWC3QZ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-08T00:35:53Z,B083TZV25B,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-29T13:43:38Z,B08Y6DCS1Y,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-25T01:08:42Z,B09S1CMMBT,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-02T17:28:11Z,B09QY2KWKY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-20T04:24:06Z,B00NEQRNVG,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-26T20:53:06Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,7,Kindle for iOS,Not Available,US
2024-02-27T17:40:43Z,B0BDW9C3JY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T16:47:21Z,B08K62VYDJ,QuickHighlight,AddHighlight,Not Available,No,Off,10,Kindle for iOS,Not Available,US
2024-03-08T03:01:33Z,B083TZV25B,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-25T22:17:05Z,B0B232HFC9,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,7,Kindle for iOS,Not Available,US
2024-03-15T09:53:32Z,B07XQK3SGQ,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-03-02T15:03:08Z,B09QY2KWKY,SelectedTextMenu,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-05T03:23:27Z,B07QNKVR3N,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-25T01:24:50Z,B00V3MY186,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-01T18:12:44Z,B0994RZ2L1,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-13T17:33:03Z,B08266V1T2,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-27T23:20:16Z,B0BC16PP4Z,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-03T04:44:58Z,B09QY2KWKY,QuickHighlight,AddHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-02-25T05:18:59Z,B09S1CMMBT,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T07:38:01Z,B0CB1RMZRC,QuickHighlight,AddHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-03-28T13:26:13Z,B0CYWDS6CT,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-14T14:23:36Z,B0C7QYS91W,QuickHighlight,AddHighlight,Not Available,No,Off,11,Kindle for iOS,Not Available,US
2024-03-12T05:29:39Z,B09P5GT746,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
