create_date,goal_id,goal_value,has_been_congratulated,last_modified_date
2025-01-12T02:04:00Z,TITLES_READ_YEAR_2025,200,false,2025-10-03T14:45:00Z
2024-04-15T20:13:00Z,TITLES_READ_YEAR_2024,300,false,2024-04-15T20:13:00Z
