campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-04-04T23:38:28.996Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-31T15:13:18.467Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T22:50:30.101Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00QE1DLIC,1,2
2024-03-30T19:52:44.426Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,B09DTJF1WD,1,1
2024-04-15T00:54:50.165Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2023-12-01T00:01:21.276Z,www.amazon.com,US,Kindle E-reader,4212850015,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T02:04:48.767Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-21T23:04:13.244Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:45:52.609Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2023-12-01T12:18:30.156Z,www.amazon.com,US,Kindle E-reader,4212850015,Not Applicable,displayed,B0B36FKPS8,1,1
2024-04-07T17:52:57.368Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00H57X864,1,2
2024-07-17T15:41:11.209Z,www.amazon.com,US,Kindle E-reader,4212850015,Not Applicable,displayed,Not Available,1,1
2024-04-08T02:11:28.507Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,11
2024-04-06T00:51:40.217Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-20T21:55:54.055Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-11T03:24:56.830Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B01L7Q54NI,1,0
2024-04-16T03:51:18.274Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T05:39:20.451Z,www.amazon.com,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,B07ZFZZ2GQ,1,2
2024-03-30T01:04:25.966Z,www.amazon.com,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,1,2
2024-04-06T00:51:40.895Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-23T03:43:37.648Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,6
2024-03-30T01:05:05.406Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-30T18:57:29.510Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B09DTJF1WD,1,2
2024-03-31T14:42:38.884Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B07ZFZZ2GQ,1,2
2024-04-08T02:11:28.478Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,10
2024-03-30T01:04:51.361Z,www.amazon.com,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,2,5
2024-04-15T00:45:52.574Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-20T21:55:36.942Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-06T20:21:27.792Z,www.amazon.com,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00FO60CH6,1,1
2024-03-30T21:36:20.897Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-07-17T15:48:54.301Z,www.amazon.com,US,Kindle E-reader,4246250033,Not Applicable,displayed,Not Available,1,1
2024-04-11T00:54:58.131Z,www.amazon.com,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
