Creation Date,Amazon Marketplace,Display Status,Device Serial Number,Device Platform,Event Description
2025-08-26T17:25:00Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-26T17:25:00Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-26T17:25:00Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-26T17:25:00Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-25T21:08:00Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-08-25T20:05:05Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-22T16:57:55Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-08-21T22:35:55Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray closed"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-08-21T22:35:54Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray opened"""
2025-08-21T02:20:10Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-29T23:20:38Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray closed"""
2025-07-29T23:20:31Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
