created_timestamp,preferred_marketplace,country,device_family,ASIN,Current Aa Reading Ruler Setting,Previous Aa Reading Ruler Setting
2024-03-16T02:47:37Z,US,,Kindle for iOS,B017S3J3X6,Disabled,Enabled
2024-03-16T02:46:34Z,US,,Kindle for iOS,B017S3J3X6,Enabled,Disabled
