Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2025-02-11T19:13:43Z,www.amazon.com,Mac,B0C7B3DFJZ,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0C7B3DFJZ,Yes,Yes,Invoked By Book Menu,No,read
2025-02-24T04:17:29Z,www.amazon.com,iOS,B07Y89DWCN,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B07Y89DWCN,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-03-11T09:10:24Z,www.amazon.com,iOS,B0CL7GMPD4,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0CL7GMPD4,Yes,Yes,Invoked By Book Menu,No,read
2024-11-26T18:34:08Z,www.amazon.com,iOS,B0CV2Y8CQC,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0CV2Y8CQC,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-03-25T21:45:34Z,www.amazon.com,iOS,B08XK8L1J7,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B08XK8L1J7,Yes,Yes,Invoked By Book Menu,No,read
2024-10-08T23:33:04Z,www.amazon.com,iOS,B09V2J7P9F,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B09V2J7P9F,Yes,Yes,Invoked By Book Menu,No,read
2024-11-27T10:13:53Z,www.amazon.com,iOS,B0CV2Y8CQC,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0CV2Y8CQC,Yes,Yes,Invoked By Book Menu,No,read
2025-08-27T18:21:35Z,www.amazon.com,iOS,B0DC66QD8K,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0DC66QD8K,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-05-17T20:18:17Z,www.amazon.com,iOS,B0C13VFWML,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B0C13VFWML,Yes,Yes,Invoked By Book Menu,No,read
2025-01-15T23:46:19Z,www.amazon.com,iOS,B0BSNRZSRF,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0BSNRZSRF,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-10-06T13:02:42Z,www.amazon.com,iOS,B09H7Q4B74,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B09H7Q4B74,Yes,Yes,Invoked By Book Menu,No,read
2024-12-01T21:35:47Z,www.amazon.com,iOS,B09X3DKLSZ,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B09X3DKLSZ,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-08-31T14:46:30Z,www.amazon.com,iOS,B0DDJXD72B,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0DDJXD72B,Yes,Yes,Invoked By Book Menu,No,read
2024-03-16T14:40:50Z,www.amazon.com,iOS,B01BU2NFTO,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01BU2NFTO,Yes,Yes,Invoked By Book Menu,No,read
2025-01-03T19:41:42Z,www.amazon.com,iOS,B01M8NHXGH,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B01M8NHXGH,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-05-11T17:34:44Z,www.amazon.com,iOS,B07J4LPZRN,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B07J4LPZRN,Yes,Yes,Invoked By Book Menu,No,read
