created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2024-03-14T20:50:23Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,Next in Series
2024-03-14T17:21:27Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Tap on a widget,grsh
2024-03-16T08:52:01Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,Next in Series
2024-03-18T21:29:09Z,US,Not Available,Kindle for iOS,B00846REIS,Open,Follow the Author
2024-02-24T08:49:26Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Collapse,BSE_EA
2024-03-03T07:26:42Z,US,Not Available,Kindle for iOS,B08Y6DCS1Y,Open,Next in Series
2024-03-22T02:39:11Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,vl
2024-03-04T03:38:11Z,US,Not Available,Kindle for iOS,B01MYYEYWP,Open,Sharing
2024-03-03T07:24:38Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,Follow the Author
2024-03-11T12:50:03Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,Open,Time To Read
2024-03-22T01:12:48Z,US,Not Available,Kindle for iOS,B0183KJZE0,Click.Shelf.Read,grsh
2024-03-16T08:52:01Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,More by Author
2024-03-16T08:52:17Z,US,Not Available,Kindle for iOS,B017S3J3X6,Click.ReadNow,Next in Series
2024-03-17T20:19:15Z,US,Not Available,Kindle for iOS,B0757CRTLY,Click.Rate.GR,rtrv
2024-03-03T07:26:15Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Collapse,BSE_EA
2024-03-17T01:55:57Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,vl
2024-03-05T15:04:26Z,US,Not Available,Kindle for iOS,B01N7GREG9,Open,ttl
2024-02-27T23:09:06Z,US,Not Available,Kindle for iOS,B09S1CMMBT,See in store,More by Author
2024-02-27T12:16:29Z,US,Not Available,Kindle for iOS,B09X6KD3CS,Open,Sharing
2024-03-19T05:36:20Z,US,Not Available,Kindle for iOS,B008673ZAQ,Open,More by Author
2024-03-03T07:26:27Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,Follow the Author
2024-03-27T22:42:29Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Open,Sharing
2024-03-23T00:49:10Z,US,Not Available,Kindle for iOS,B0CHWQPB49,Click.Shelf,grsh
2024-04-04T21:48:16Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,More by Author
2024-02-28T19:53:48Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Open,vl
2024-03-22T02:39:11Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,ttl
2024-04-09T18:40:10Z,US,Not Available,Kindle for iOS,B00H57X864,Click.Cancel.GR.ReviewPage,rtrv
2024-02-24T08:47:08Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,vl
2024-03-04T06:19:24Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Open,vl
2024-03-11T05:58:59Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Open,grsh
2024-04-04T21:49:41Z,US,Not Available,Kindle for iOS,B008WOTQGU,Render.TrySample,More by Author
2024-03-03T07:27:00Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Collapse,BSE_EA
2024-03-04T09:18:47Z,US,Not Available,Kindle for iOS,B01N7GREG9,Open,grsh
2024-03-14T00:07:44Z,US,Not Available,Kindle for iOS,B08266SRVP,Open,Customers Who Bought This Also Bought
2024-03-12T06:05:21Z,US,Not Available,Kindle for iOS,B09P5GT746,Open,grsh
2024-03-17T01:55:57Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,ttl
2024-03-11T09:10:20Z,US,Not Available,Kindle for iOS,B0CL7GMPD4,Open,rtrv
2024-03-13T13:42:58Z,US,Not Available,Kindle for iOS,B08266PLCC,Click.ReadNow,Next in Series
2024-03-09T06:01:06Z,US,Not Available,Kindle for iOS,B071NRXLXB,Open,Sharing
2024-03-11T06:00:12Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Open,Follow the Author
2024-03-20T04:18:39Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Tap on a widget,grsh
2024-03-25T15:24:10Z,US,Not Available,Kindle for iOS,B00W22ITCU,Collapse,BSE_EA
2024-03-03T07:25:21Z,US,Not Available,Kindle for iOS,B09X6KD3CS,Open,More by Author
2024-03-09T03:34:34Z,US,Not Available,Kindle for iOS,B01D6TA9Y8,Click.Shelf.Read,grsh
2024-03-20T04:20:25Z,US,Not Available,Kindle for iOS,B00NEQRNVG,Open,About the Series
2024-03-11T05:58:59Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Open,More by Author
2024-03-30T00:44:04Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Open,About the Series
2024-04-04T21:48:16Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,Other widget
2024-03-06T04:53:56Z,US,Not Available,Kindle for iOS,B07C7N5CBS,Click.Rate.GR,rtrv
2024-03-11T12:50:03Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,Open,More by Author
2024-03-02T05:45:29Z,US,Not Available,Kindle for iOS,B0994RZ2L1,Tap on a widget,grsh
