created_timestamp,ASIN,customer_context,action,device_family,country,preferred_marketplace
2024-03-09T00:22:29Z,B01D6TA9Y8,Not Applicable,Search,Kindle for iOS,Not Available,US
2021-07-08T23:51:53Z,B07DZLJF1C,Not Applicable,Search,Kindle for iOS,Not Available,US
2021-07-08T23:52:04Z,B07DZLJF1C,Not Applicable,GoToResult,Kindle for iOS,Not Available,US
2024-03-09T00:22:33Z,B01D6TA9Y8,Not Applicable,GoToResult,Kindle for iOS,Not Available,US
