created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-02T11:00:49Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-10T01:42:32Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T09:53:11Z,US,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T19:25:06Z,US,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T10:54:13Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T02:04:43Z,US,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T01:03:23Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T02:54:42Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T20:50:38Z,US,US,Kindle E-reader,B09Z7BYZS3,transition to screen saver,Kindle Special Offers not enabled
2024-04-09T02:14:16Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T05:38:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:05:20Z,US,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T03:59:04Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T20:05:41Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-04T06:16:05Z,US,US,Kindle E-reader,B0BJJTTM8K,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T23:39:28Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T22:47:52Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T00:04:30Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-15T00:45:47Z,US,US,Kindle E-reader,B0778CV9Y4,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:39:22Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T20:02:54Z,US,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T16:50:04Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-02T04:26:57Z,US,US,Kindle E-reader,B0BHLBHG79,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T07:14:38Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:15:45Z,US,US,Kindle E-reader,B00BKK6E04,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T19:44:03Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T02:49:32Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T00:33:16Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T16:20:13Z,US,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-09T00:49:30Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:41:42Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:41:43Z,US,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T03:56:39Z,US,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T23:41:22Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T23:25:39Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T21:46:51Z,US,US,Kindle E-reader,B09Z7BYZS3,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T00:44:45Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T00:26:46Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T16:51:23Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:52:48Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T13:15:01Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-05T01:26:51Z,US,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T21:48:09Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T00:44:28Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:41:50Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:13:15Z,US,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T21:35:50Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T22:47:52Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-11T00:53:40Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T17:40:15Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T20:25:16Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T15:06:14Z,US,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T05:03:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
