Timestamp,Activity,CampaignName,DisplayStatus
2024-03-25T15:31:50Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-07-14T23:09:44Z,ACTION_TRAY_CLOSE,,
2024-12-15T20:52:47Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-03-03T16:27:53Z,RECEIVED,tips,silentlyReceived
2024-11-05T12:19:50Z,ACTION_TRAY_CLOSE,,
2024-12-15T20:52:47Z,ACTION_TRAY_OPEN,,
2024-03-03T09:05:29Z,ACTION_TRAY_CLOSE,,
2025-01-06T19:01:14Z,RECEIVED,kindle_recommends,silentlyReceived
2025-03-22T19:33:20Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-09T18:43:44Z,RECEIVED,kindle_recommends,silentlyReceived
2024-11-23T16:24:33Z,RECEIVED,tips,silentlyReceived
2024-03-27T15:06:28Z,RECEIVED,tips,silentlyReceived
2025-06-01T23:43:58Z,ACTION_TRAY_CLOSE,,
2025-09-23T19:00:51Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-10T01:26:41Z,RECEIVED,tips,displayed_InAppNotification
2025-06-01T23:43:28Z,RECEIVED,tips,displayed_InAppNotification
2024-08-23T16:11:00Z,ACTION_TRAY_OPEN,,
2025-07-13T03:44:41Z,ACTION_TAP_InAppNotification,kindle_recommends,
2024-03-04T00:45:15Z,RECEIVED,tips,displayed_InAppNotification
2024-03-04T00:45:45Z,ACTION_TRAY_CLOSE,,
2024-03-14T00:08:45Z,RECEIVED,tips,displayed_InAppNotification
2024-09-14T17:51:10Z,RECEIVED,kindle_recommends,silentlyReceived
2025-05-09T18:43:38Z,RECEIVED,kindle_recommends,silentlyReceived
2024-04-27T23:39:59Z,RECEIVED,tips,silentlyReceived
2024-05-05T15:07:41Z,RECEIVED,tips,silentlyReceived
2024-03-17T17:54:36Z,RECEIVED,kindle_recommends,silentlyReceived
2025-07-29T23:20:24Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-07-14T23:09:14Z,ACTION_TRAY_OPEN,,
2025-07-13T03:39:11Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-01-20T18:31:15Z,RECEIVED,kindle_recommends,silentlyReceived
2025-02-03T18:22:46Z,RECEIVED,kindle_recommends,silentlyReceived
2024-11-04T18:11:50Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-03T07:28:56Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-07-29T23:20:24Z,ACTION_TAP_InAppNotification,kindle_recommends,
2025-01-19T17:07:45Z,ACTION_TAP,tips,
2024-09-02T00:05:25Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-28T04:28:24Z,RECEIVED,tips,displayed_InAppNotification
2024-10-16T01:58:50Z,ACTION_TRAY_OPEN,,
2025-05-08T01:06:12Z,ACTION_TAP,tips,
2024-04-17T17:49:35Z,RECEIVED,kindle_recommends,silentlyReceived
2025-03-25T18:15:37Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-04T19:24:43Z,RECEIVED,kindle_recommends,silentlyReceived
2025-08-26T17:26:09Z,RECEIVED,tips,displayed_InAppNotification
2024-09-25T16:29:27Z,RECEIVED,tips,silentlyReceived
2025-02-04T20:22:25Z,RECEIVED,kindle_recommends,silentlyReceived
2024-08-23T16:11:00Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-04-12T18:10:25Z,RECEIVED,kindle_recommends,silentlyReceived
2024-04-27T15:00:37Z,RECEIVED,tips,silentlyReceived
2024-04-19T00:44:35Z,ACTION_TRAY_CLOSE,,
2025-07-06T15:50:25Z,RECEIVED,tips,silentlyReceived
2024-03-16T02:40:26Z,ACTION_TRAY_OPEN,,
2025-06-12T17:40:48Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-31T05:22:47Z,ACTION_TAP,,
2024-09-25T21:33:19Z,ACTION_TRAY_OPEN,,
2025-05-05T15:20:32Z,RECEIVED,tips,silentlyReceived
2024-11-25T09:57:36Z,RECEIVED,tips,displayed_InAppNotification
2024-04-05T01:03:33Z,RECEIVED,tips,silentlyReceived
2025-02-17T19:40:36Z,ACTION_TAP,kindle_recommends,
2024-03-25T15:32:50Z,ACTION_TRAY_CLOSE,,
2024-03-10T01:26:41Z,ACTION_TRAY_OPEN,,
2024-08-10T02:13:49Z,RECEIVED,kindle_recommends,silentlyReceived
2025-01-09T18:52:35Z,RECEIVED,kindle_recommends,silentlyReceived
2024-11-12T23:11:22Z,RECEIVED,kindle_recommends,silentlyReceived
