asin_date_and_content_type,product_name
B0BM7X9WFJ_2024-10-19_AUTOMATIC,God of Ruin: A Dark College Romance (Legacy of Gods Book 4)
B0BMVKB15H_2024-08-19_AUTOMATIC,Madame (Salacious Players' Club)
B0BNFRLH91_2024-10-08_AUTOMATIC,The Sacrifice: A Dark Revenge Romance
B0BNQV7L3T_2025-01-11_AUTOMATIC,Bound (Highest Bidder Book 5)
B0BNQV7L3T_2025-01-11_MANUAL,Bound (Highest Bidder Book 5)
B0BNQYVMCD_2024-09-28_AUTOMATIC,Not So Merry Memories
B0BP7DM1VD_2024-09-22_AUTOMATIC,Before We Came: A Brother's Best Friend Hockey Romance (Lakes Hockey Book 1) (Lakes Hockey Series)
B0BPVJ4RVR_2024-05-08_AUTOMATIC,Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1)
B0BQ79WJLC_2024-11-15_AUTOMATIC,Prey Tell (Ravaged Castle)
B0BSG1XDTR_2025-09-30_AUTOMATIC,"Right Man, Right Time (The Agitators Series Book 3)"
B0BSG1XDTR_2025-09-30_MANUAL,"Right Man, Right Time (The Agitators Series Book 3)"
B0BSNRZSRF_2025-01-16_AUTOMATIC,Unfurl: A Hot Age Gap Romance (Alchemy Book 1)
B0BSNRZSRF_2025-01-16_MANUAL,Unfurl: A Hot Age Gap Romance (Alchemy Book 1)
B0BSXMNJ8C_2024-10-30_AUTOMATIC,Too Strong: Hayes Brothers Book 4
B0BT9W3ZS2_2025-07-19_AUTOMATIC,The Unwanted Marriage: Dion and Faye's Story (The Windsors)
B0BT9W3ZS2_2025-07-19_MANUAL,The Unwanted Marriage: Dion and Faye's Story (The Windsors)
B0BTJCWKRC_2024-09-24_AUTOMATIC,My Temptation (Kingston Lane Book 1)
B0BTV12H8V_2024-07-15_AUTOMATIC,A Game of Gods (Hades x Persephone Saga Book 6)
B0BTV277VT_2024-07-16_AUTOMATIC,A Touch of Chaos (Hades x Persephone Saga Book 7)
B0BTZ8VWJ8_2024-07-28_AUTOMATIC,The Long Game: A Novel (The Green Oak Series)
B0BTZQ7TGP_2025-02-10_AUTOMATIC,Reckless
B0BTZQ7TGP_2025-02-10_MANUAL,Reckless
B0BV1C2PJ8_2025-06-17_AUTOMATIC,Wildfire: A Novel (The Maple Hills Series)
B0BV1C2PJ8_2025-06-17_MANUAL,Wildfire: A Novel (The Maple Hills Series)
B0BV5X9VB8_2025-01-27_AUTOMATIC,Check & Mate
B0BV5X9VB8_2025-01-27_MANUAL,Check & Mate
B0BVRQQJ7X_2024-08-16_AUTOMATIC,Lovelight Farms
B0BVRT9TRJ_2025-04-27_AUTOMATIC,Bittersweet Melody : (The Bittersweet Symphony Duet 2.5)
B0BVRT9TRJ_2025-04-27_MANUAL,Bittersweet Melody : (The Bittersweet Symphony Duet 2.5)
B0BXBMKSBT_2024-04-20_MANUAL,Not Available
B0BXMJDB4C_2024-05-09_AUTOMATIC,Pucking Wild: A Reverse Age Gap Hockey Romance (Jacksonville Rays Book 2)
B0BXXH97JF_2025-01-17_AUTOMATIC,"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)"
B0BXXH97JF_2025-01-17_MANUAL,"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)"
B0BY9M2C4X_2025-02-05_AUTOMATIC,House of Flame and Shadow (Crescent City)
B0BY9M2C4X_2025-02-05_MANUAL,House of Flame and Shadow (Crescent City)
B0BYFW12CT_2024-09-21_AUTOMATIC,Mr. Hook-up (Hooked Book 1)
B0BYKSTDNB_2025-03-02_AUTOMATIC,The Graham Effect (Campus Diaries Book 1)
B0BYKSTDNB_2025-03-02_MANUAL,The Graham Effect (Campus Diaries Book 1)
B0BYWR9N4G_2025-03-08_AUTOMATIC,The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)
B0BYWR9N4G_2025-03-08_MANUAL,The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)
B0C13VFWML_2024-05-17_AUTOMATIC,King of Greed (Kings of Sin Book 3)
B0C1D5SZW4_2024-10-10_AUTOMATIC,Carnage: A Dark Revenge Romance
B0C1LJS1XX_2025-06-07_AUTOMATIC,The Perfect Fit
B0C1LJS1XX_2025-06-07_MANUAL,The Perfect Fit
B0C1R1XL57_2024-09-15_AUTOMATIC,The Playboy (Spade Hotel Series Book 1)
B0C28VD15F_2024-09-12_AUTOMATIC,The Anti-hero (The Goode Brothers)
B0C2JYSCLX_2024-05-09_AUTOMATIC,Pucking Ever After: Volume 1 (Jacksonville Rays)
B0C35K5GRL_2024-10-30_AUTOMATIC,Too Hard: Hayes Brothers Book 5
B0C3B5MXTS_2025-01-18_AUTOMATIC,"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)"
B0C3B5MXTS_2025-01-19_MANUAL,"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)"
B0C3C7G6HN_2025-08-29_AUTOMATIC,"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)"
B0C3C7G6HN_2025-08-29_MANUAL,"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)"
B0C3SNCRXM_2024-12-10_AUTOMATIC,Swallow Your Pride: A Forbidden Age Gap Romance (The Carlson Brothers)
B0C3WPY9S1_2024-09-23_AUTOMATIC,Strong and Wild (Lakes Hockey Series Book 2)
B0C44CFZPD_2024-12-14_AUTOMATIC,Keeping 13 (Boys of Tommen Book 2)
B0C44DX85D_2024-12-12_AUTOMATIC,Binding 13 (Boys of Tommen Book 1)
B0C451CF7Z_2024-12-17_AUTOMATIC,Redeeming 6 (Boys of Tommen Book 4)
B0C453T7BV_2024-12-15_AUTOMATIC,Saving 6 (Boys of Tommen Book 3)
B0C4GRKJTF_2025-07-20_AUTOMATIC,The Broken Vows: Zane and Celeste's Story (The Windsors)
B0C4GRKJTF_2025-07-20_MANUAL,The Broken Vows: Zane and Celeste's Story (The Windsors)
B0C4JMJBNX_2025-01-24_AUTOMATIC,Iron Flame (The Empyrean Book 2)
B0C4JMJBNX_2025-01-24_MANUAL,Iron Flame (The Empyrean Book 2)
B0C4LHVJ82_2025-02-23_AUTOMATIC,Fangirl Down: A Novel (Big Shots Book 1)
B0C4LHVJ82_2025-02-23_MANUAL,Fangirl Down: A Novel (Big Shots Book 1)
B0C5K4RCNR_2025-03-09_AUTOMATIC,The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)
B0C5K4RCNR_2025-03-09_MANUAL,The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)
B0C5MX4PK7_2024-11-16_AUTOMATIC,Marry Lies (Ravaged Castle)
B0C6JG3XJB_2024-12-11_AUTOMATIC,Forget Your Morals: A Forbidden Secret Romance (The Carlson Brothers)
B0C6NBLBL2_2025-09-02_AUTOMATIC,Magnolia Parks (The Magnolia Parks Universe Book 1)
B0C6NBLBL2_2025-09-02_MANUAL,Magnolia Parks (The Magnolia Parks Universe Book 1)
B0C6NMBN7H_2025-09-03_AUTOMATIC,Daisy Haites (The Magnolia Parks Universe Book 2)
B0C6NMBN7H_2025-09-06_MANUAL,Daisy Haites (The Magnolia Parks Universe Book 2)
B0C6NNZSVQ_2025-09-09_AUTOMATIC,Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)
B0C6NNZSVQ_2025-09-09_MANUAL,Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)
B0C7B3DFJZ_2025-02-11_AUTOMATIC,Hopeless
B0C7B3DFJZ_2025-02-11_MANUAL,Hopeless
B0C7QYS91W_2024-03-14_AUTOMATIC,Camera Shy (Lessons in Love)
B0C85RV9VG_2025-02-17_AUTOMATIC,Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)
B0C85RV9VG_2025-02-17_MANUAL,Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)
B0C9GQV1TT_2025-09-22_MANUAL,Bride
B0C9KJRSX7_2025-03-22_AUTOMATIC,The Home-wrecker (The Goode Brothers)
B0C9KJRSX7_2025-03-22_MANUAL,The Home-wrecker (The Goode Brothers)
B0C9MXW2JL_2025-07-13_AUTOMATIC,Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)
B0C9MXW2JL_2025-07-13_MANUAL,Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy)
B0CB1RMZRC_2024-02-24_AUTOMATIC,A Deal with the Bossy Devil: An Enemies to Lovers Billionaire Boss Romance (Bad Billionaire Bosses Book 1)
B0CB4B21KB_2024-10-31_AUTOMATIC,Too Long: Hayes Brothers Book 6
B0CBHXCKPS_2025-03-17_AUTOMATIC,Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)
B0CBHXCKPS_2025-03-17_MANUAL,Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)
B0CBSH3BXT_2024-09-14_AUTOMATIC,Shucked (The Loew Brothers Book 1)
B0CCNBRNRQ_2024-11-14_AUTOMATIC,Funny Story
B0CD2RWNVL_2025-04-07_AUTOMATIC,Unravel Me (Playing For Keeps Book 3)
B0CD2RWNVL_2025-04-07_MANUAL,Unravel Me (Playing For Keeps Book 3)
B0CDJPKT7K_2025-03-17_AUTOMATIC,Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)
B0CDJPKT7K_2025-03-17_MANUAL,Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)
B0CDTXRNWY_2024-11-17_AUTOMATIC,Ward Willing (Ravaged Castle)
B0CDWHN8FK_2025-01-12_AUTOMATIC,Just for the Summer
B0CDWHN8FK_2025-01-12_MANUAL,Just for the Summer
B0CFCRR7Y4_2024-05-14_AUTOMATIC,Bridesmaid For Hire
B0CFD5NCP9_2024-12-18_AUTOMATIC,Taming 7 (Boys of Tommen Book 5)
B0CFDCMPVC_2025-10-02_AUTOMATIC,He's Not My Type (The Agitators Series Book 4)
B0CFDCMPVC_2025-10-02_MANUAL,He's Not My Type (The Agitators Series Book 4)
B0CFX5WT14_2025-09-13_MANUAL,Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)
B0CFYJWMTR_2025-01-19_AUTOMATIC,Untether (Alchemy Book 4)
B0CFYJWMTR_2025-01-19_MANUAL,Untether (Alchemy Book 4)
B0CGJJTBKJ_2024-10-22_AUTOMATIC,God of Fury: A Dark MM College Romance (Legacy of Gods Book 5)
B0CGS1BTDH_2024-09-09_AUTOMATIC,The Rom-Commers: A Novel
B0CGXWSG9D_2024-09-24_AUTOMATIC,In The Game: A Secret Baby Hockey Romance (Lakes Hockey Series Book 3)
B0CHBML59T_2025-06-03_AUTOMATIC,Done and Dusted: A Rebel Blue Ranch Novel
B0CHBML59T_2025-06-03_MANUAL,Done and Dusted: A Rebel Blue Ranch Novel
B0CHGNRP6M_2024-09-06_AUTOMATIC,My Office Rival (Keep Your Enemy Closer)
B0CHVBB7Y5_2025-03-06_AUTOMATIC,Not in Love
B0CHVBB7Y5_2025-03-06_MANUAL,Not in Love
B0CHWQPB49_2024-03-23_AUTOMATIC,Same Time Next Year: A Novella
B0CJ68GRM1_2024-05-19_AUTOMATIC,King of Sloth (Kings of Sin Book 4)
B0CJDMBYCT_2025-03-11_AUTOMATIC,The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)
B0CJDMBYCT_2025-03-11_MANUAL,The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)
B0CJDPTB3V_2025-07-22_MANUAL,The Secret Fiancée: Lexington and Raya's Story (The Windsors)
B0CK55PS1P_2025-01-09_AUTOMATIC,Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)
B0CK55PS1P_2025-01-09_MANUAL,Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)
B0CKBX1G7X_2025-01-20_AUTOMATIC,Unstitch (Alchemy Book 5)
B0CKBX1G7X_2025-01-20_MANUAL,Unstitch (Alchemy Book 5)
B0CKH896T8_2025-01-15_AUTOMATIC,Play Along (Windy City Series Book 4)
B0CKH896T8_2025-01-15_MANUAL,Play Along (Windy City Series Book 4)
B0CKMFZN5Z_2025-02-21_AUTOMATIC,Wild Love (Rose Hill Book 1)
B0CKMFZN5Z_2025-02-21_MANUAL,Wild Love (Rose Hill Book 1)
B0CKRXNDCF_2025-01-14_AUTOMATIC,Caught Up (Windy City Book 3) (Windy City Series)
B0CKRXNDCF_2025-01-14_MANUAL,Caught Up (Windy City Book 3) (Windy City Series)
B0CL1C4PM4_2024-04-18_AUTOMATIC,Butcher & Blackbird (The Ruinous Love Trilogy Book 1)
B0CL5FS86S_2025-03-13_AUTOMATIC,The Paradise Problem
B0CL5FS86S_2025-03-13_MANUAL,The Paradise Problem
B0CL5FT1GZ_2025-06-19_AUTOMATIC,Daydream: A Novel (The Maple Hills Series)
B0CL5FT1GZ_2025-06-19_MANUAL,Daydream: A Novel (The Maple Hills Series)
B0CL7GMPD4_2024-03-11_AUTOMATIC,The Exception to the Rule (The Improbable Meet-Cute collection)
B0CL7H4JD9_2024-03-11_AUTOMATIC,Worst Wingman Ever (The Improbable Meet-Cute collection)
B0CL7L1Y9X_2024-03-14_AUTOMATIC,Rosie and the Dreamboat (The Improbable Meet-Cute collection)
B0CLFB86PL_2025-04-02_AUTOMATIC,Goldfinch (The Plated Prisoner Series Book 6)
B0CLFB86PL_2025-04-02_MANUAL,Goldfinch (The Plated Prisoner Series Book 6)
B0CLGW57HP_2025-03-03_AUTOMATIC,The Dixon Rule (Campus Diaries Book 2)
B0CLGW57HP_2025-03-03_MANUAL,The Dixon Rule (Campus Diaries Book 2)
B0CLJW5KC2_2025-03-14_AUTOMATIC,The Au Pair Affair: A Novel (Big Shots Book 2)
B0CLJW5KC2_2025-03-14_MANUAL,The Au Pair Affair: A Novel (Big Shots Book 2)
B0CLT4QRQL_2024-03-18_AUTOMATIC,Own Me (The Wolf Hotel Book 5)
B0CM5L5T6D_2025-04-13_AUTOMATIC,Five Brothers
B0CM5L5T6D_2025-04-13_MANUAL,Five Brothers
B0CMJRJPC7_2025-07-14_AUTOMATIC,Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)
B0CMJRJPC7_2025-07-14_MANUAL,Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy)
B0CMQ8X4LN_2025-06-15_AUTOMATIC,Not Another Love Song
B0CMQ8X4LN_2025-06-15_MANUAL,Not Another Love Song
B0CN25HCG7_2024-12-19_AUTOMATIC,Season's Schemings: A Holiday Hockey Rom Com (Cyclones Christmas Book 1)
B0CNGBQRC5_2024-07-07_AUTOMATIC,Leather & Lark: The Ruinous Love Trilogy
B0CNNV2G3J_2024-11-30_AUTOMATIC,All The Wrong Plays (Kluvberg Book 2)
B0CNSGXRN9_2025-02-18_AUTOMATIC,The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)
B0CNSGXRN9_2025-02-18_MANUAL,The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)
B0CNWR8F16_2024-05-10_AUTOMATIC,Pucking Ever After: Volume 2 (Jacksonville Rays)
B0CPD3911D_2024-10-23_AUTOMATIC,God of War: An Enemies to Lovers Marriage Romance (Legacy of Gods Book 6)
B0CPHK75WH_2024-09-02_AUTOMATIC,One Billion Reasons (Kings Lane Billionaires)
B0CPHZP6S9_2025-02-17_AUTOMATIC,Vengeful Gods (Port Macabre)
B0CPHZP6S9_2025-02-17_MANUAL,Vengeful Gods (Port Macabre)
B0CPKCH1V8_2025-07-15_AUTOMATIC,Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)
B0CPKCH1V8_2025-07-15_MANUAL,Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy)
B0CQ371ZTP_2025-07-07_AUTOMATIC,Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)
B0CQ371ZTP_2025-07-07_MANUAL,Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2)
B0CQKGZL6K_2025-08-18_AUTOMATIC,Unsteady: A Novel
B0CQKGZL6K_2025-08-18_MANUAL,Unsteady: A Novel
B0CR19MXKV_2024-11-28_AUTOMATIC,The Striker (Gods of the Game Book 1)
B0CR1N7YGX_2025-04-22_AUTOMATIC,Fragile Sanctuary (Sparrow Falls Book 1)
B0CR1N7YGX_2025-04-22_MANUAL,Fragile Sanctuary (Sparrow Falls Book 1)
B0CR7FCTF2_2024-10-10_AUTOMATIC,Madness: A Dark Revenge Romance
B0CRPVLGRC_2025-06-04_AUTOMATIC,Mr. Heartbreaker (The Nest Book 1)
B0CRPVLGRC_2025-06-04_MANUAL,Mr. Heartbreaker (The Nest Book 1)
B0CS17PXNR_2025-07-06_AUTOMATIC,Face Off: A Spicy Rivals to Lovers Hockey Romance (D.C. Stars Book 1)
B0CS17PXNR_2025-07-06_MANUAL,Face Off: A Spicy Rivals to Lovers Hockey Romance (D.C. Stars Book 1)
B0CSGN4238_2024-07-20_AUTOMATIC,So This Is War
B0CTCQ6MM4_2025-01-21_AUTOMATIC,Unbind (Alchemy Book 6)
B0CTCQ6MM4_2025-01-21_MANUAL,Unbind (Alchemy Book 6)
B0CTCQDVJL_2025-01-22_AUTOMATIC,Always Alchemy: The Ever After Book
B0CTCQDVJL_2025-01-22_MANUAL,Always Alchemy: The Ever After Book
B0CTXVHQW6_2025-07-23_AUTOMATIC,The Devious Husband: Sierra and Xavier's Story (The Windsors)
B0CTXVHQW6_2025-07-23_MANUAL,The Devious Husband: Sierra and Xavier's Story (The Windsors)
B0CV2Y8CQC_2024-11-27_AUTOMATIC,Truly Madly Deeply: A Grumpy x Sunshine Romance (Forbidden Love Book 1)
B0CVLJ8816_2025-04-08_AUTOMATIC,Fall With Me (Playing For Keeps Book 4)
B0CVLJ8816_2025-04-08_MANUAL,Fall With Me (Playing For Keeps Book 4)
B0CW18879C_2024-09-08_AUTOMATIC,Bridesmaid Undercover
B0CW1FKFB9_2025-01-26_AUTOMATIC,Onyx Storm (The Empyrean Book 3)
B0CW1FKFB9_2025-01-27_MANUAL,Onyx Storm (The Empyrean Book 3)
B0CW1J839S_2025-04-15_AUTOMATIC,Flock (The Ravenhood Book 1)
B0CW1J839S_2025-04-15_MANUAL,Flock (The Ravenhood Book 1)
B0CWJ2GTF3_2024-11-30_AUTOMATIC,"First Flight, Final Fall: A College Soccer Romance (Kluvberg Book 1)"
B0CWPBWTCY_2025-09-16_AUTOMATIC,Not in My Book: A Novel
B0CWPBWTCY_2025-09-16_MANUAL,Not in My Book: A Novel
B0CWZ83PGD_2025-03-04_AUTOMATIC,The Charlie Method (Campus Diaries Book 3)
B0CX82WQ5Q_2024-11-29_AUTOMATIC,How My Neighbor Stole Christmas
B0CXKKC82X_2024-11-15_AUTOMATIC,Not Available
B0CXR6ZHLS_2025-02-22_AUTOMATIC,Wild Eyes
B0CYM3ZDK6_2025-03-23_MANUAL,The Heartbreaker (The Goode Brothers)
B0CYWDS6CT_2024-03-29_MANUAL,Failure to Match: An Enemies to Lovers Billionaire Matchmaker Romance (Bad Billionaire Bosses Book 2)
B0CYWDS6CT_2024-03-30_AUTOMATIC,Failure to Match: An Enemies to Lovers Billionaire Matchmaker Romance (Bad Billionaire Bosses Book 2)
B0CZKKHB94_2024-09-02_AUTOMATIC,One Rich Revenge (Kings Lane Billionaires)
B0CZP7QV5D_2025-04-17_AUTOMATIC,Exodus (The Ravenhood Book 2)
B0CZP7QV5D_2025-04-17_MANUAL,Exodus (The Ravenhood Book 2)
B0CZV38Z7J_2025-05-27_AUTOMATIC,King of Envy (Kings of Sin Book 5)
B0CZV38Z7J_2025-05-27_MANUAL,King of Envy (Kings of Sin Book 5)
B0D1PC9FHN_2025-04-10_AUTOMATIC,Audacity: A Priest-Turned-Billionaire Workplace Romance
B0D1PC9FHN_2025-04-10_MANUAL,Audacity: A Priest-Turned-Billionaire Workplace Romance
B0D24DBDW4_2024-08-27_AUTOMATIC,Change of Heart
B0D2GST88W_2024-12-03_AUTOMATIC,Lights Out: An Into Darkness Novel
B0D2PFVNXV_2025-01-09_AUTOMATIC,Butterfly: A dark college hockey romance (Tabb U Book 1)
B0D2PFVNXV_2025-01-09_MANUAL,Butterfly: A dark college hockey romance (Tabb U Book 1)
B0D2VNCDRQ_2025-05-24_AUTOMATIC,Dream Girl Drama: A Spicy Sports Rom-Com with an Unconventional Love Story (Big Shots Book 3)
B0D2VNCDRQ_2025-05-24_MANUAL,Dream Girl Drama: A Spicy Sports Rom-Com with an Unconventional Love Story (Big Shots Book 3)
B0D3C17M1Z_2025-02-15_AUTOMATIC,Deep End
B0D3Z2M35D_2025-05-23_AUTOMATIC,First-Time Caller (Heartstrings Book 1)
B0D3Z2M35D_2025-05-23_MANUAL,First-Time Caller (Heartstrings Book 1)
B0D46PR72D_2025-03-21_MANUAL,Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist
B0D4FTPPN4_2024-09-11_AUTOMATIC,Passenger Princess: A Grumpy Sunshine Bodyguard Pageant Queen Romance (Evergreen Park Book 1)
B0D4W772V5_2024-11-01_AUTOMATIC,If This Was a Movie: A Single Dad Nanny Christmas Romantic Comedy (Evergreen Park Book 2)
B0D4YYKBC7_2024-09-25_AUTOMATIC,My Rules (Kingston Lane Book 2)
B0D5YMWD9Y_2025-06-29_AUTOMATIC,Severed Heart (Ravenhood Legacy Book 2)
B0D5YMWD9Y_2025-06-29_MANUAL,Severed Heart (Ravenhood Legacy Book 2)
B0D5YPRZHB_2024-09-27_AUTOMATIC,Pucking Sweet: An MMF Workplace Hockey Romance (Jacksonville Rays Book 3)
B0D67VHK43_2025-07-09_AUTOMATIC,Slap Shot (D.C. Stars Book 3)
B0D67VHK43_2025-07-09_MANUAL,Slap Shot (D.C. Stars Book 3)
B0D6MG4KFQ_2024-10-02_AUTOMATIC,Promise Me Not
B0D7F96JNZ_2025-04-19_AUTOMATIC,The Finish Line (The Ravenhood Book 3)
B0D7F96JNZ_2025-04-19_MANUAL,The Finish Line (The Ravenhood Book 3)
B0D7NN1P97_2025-02-13_AUTOMATIC,Scythe & Sparrow: The Ruinous Love Trilogy
B0D7NN1P97_2025-02-13_MANUAL,Scythe & Sparrow: The Ruinous Love Trilogy
B0D7ZVQG2N_2025-08-24_AUTOMATIC,Retreat: A Novel
B0D7ZVQG2N_2025-08-24_MANUAL,Retreat: A Novel
B0D888FZSD_2025-05-25_AUTOMATIC,Rewind It Back (Windy City Series Book 5)
B0D888FZSD_2025-05-25_MANUAL,Rewind It Back (Windy City Series Book 5)
B0D9CC3C9Y_2025-04-21_AUTOMATIC,One Last Rainy Day (Ravenhood Legacy Book 1)
B0D9CC3C9Y_2025-04-21_MANUAL,One Last Rainy Day (Ravenhood Legacy Book 1)
B0D9KNVB11_2024-12-30_AUTOMATIC,Cruel Winter with You (Under the Mistletoe collection)
B0D9QBHRNT_2024-09-05_AUTOMATIC,The Bonus
B0DB2L4TWY_2025-08-31_AUTOMATIC,"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)"
B0DB2L4TWY_2025-08-31_MANUAL,"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)"
B0DC66QD8K_2025-08-28_AUTOMATIC,Say You'll Remember Me
B0DC66QD8K_2025-08-28_MANUAL,Say You'll Remember Me
B0DCG89SDJ_2025-10-05_AUTOMATIC,August Lane
B0DCG89SDJ_2025-10-06_MANUAL,August Lane
B0DCTZPG8V_2025-04-24_AUTOMATIC,Bridesmaid by Chance
B0DCTZPG8V_2025-04-24_MANUAL,Bridesmaid by Chance
B0DD1VWZ4Z_2025-03-05_AUTOMATIC,Wild Side
B0DD1VWZ4Z_2025-03-05_MANUAL,Wild Side
B0DD357DWQ_2025-02-19_AUTOMATIC,The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)
B0DD357DWQ_2025-02-19_MANUAL,The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)
B0DD7X5V3V_2025-03-20_AUTOMATIC,The Fall Risk: A Short Story
B0DD7X5V3V_2025-03-20_MANUAL,The Fall Risk: A Short Story
B0DDJXD72B_2024-08-31_AUTOMATIC,One Wealthy Wedding: A Marriage of Convenience Romance (Kings Lane Billionaires)
B0DDKHNVWF_2025-03-18_AUTOMATIC,Quicksilver (Fae & Alchemy Book 1)
B0DDKHNVWF_2025-03-19_MANUAL,Quicksilver (Fae & Alchemy Book 1)
B0DFGDFM4V_2025-06-23_AUTOMATIC,It's a Love Story
B0DFGDFM4V_2025-06-23_MANUAL,It's a Love Story
B0DGCLB3X3_2025-05-19_AUTOMATIC,Great Big Beautiful Life: Reese's Book Club
B0DGCLB3X3_2025-05-19_MANUAL,Great Big Beautiful Life: Reese's Book Club
B0DGQMHV4C_2024-11-18_AUTOMATIC,Masked Sins (Ravaged Castle)
B0DJM93XSS_2024-12-20_AUTOMATIC,Holiday Hostilities : A Festive Hockey Rom Com (Cyclones Christmas Book 2)
B0DJPX4312_2025-06-20_AUTOMATIC,Trust Me Always: A Fake Dating Romance
B0DJPX4312_2025-06-20_MANUAL,Trust Me Always: A Fake Dating Romance
B0DJPZ5CGC_2025-06-11_AUTOMATIC,Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2)
B0DJPZ5CGC_2025-06-11_MANUAL,Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2)
B0DJT283QQ_2025-04-04_AUTOMATIC,Kiss The Villain: A Dark MM Enemies to Lovers Romance
B0DJT283QQ_2025-04-04_MANUAL,Kiss The Villain: A Dark MM Enemies to Lovers Romance
B0DJTBBNQX_2025-07-05_AUTOMATIC,All Superheroes Need PR (Supers in the City)
B0DJTBBNQX_2025-07-05_MANUAL,All Superheroes Need PR (Supers in the City)
B0DKG9MS7S_2025-07-03_AUTOMATIC,Gloves Off: a marriage of convenience hockey romance (Vancouver Storm Book 4)
B0DKG9MS7S_2025-07-03_MANUAL,Gloves Off: a marriage of convenience hockey romance (Vancouver Storm Book 4)
B0DPLWFDWY_2025-03-20_AUTOMATIC,Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)
B0DPLWFDWY_2025-03-20_MANUAL,Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)
B0DPX5M3BH_2025-09-01_MANUAL,"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)"
B0DQVGJ7ZK_2025-06-06_AUTOMATIC,"Duplicity: A Billionaire, Single Mom Romance (Seraph)"
B0DQVGJ7ZK_2025-06-06_MANUAL,"Duplicity: A Billionaire, Single Mom Romance (Seraph)"
B0DSRPZ7NY_2025-09-24_AUTOMATIC,The Good Girl Effect (Salacious Legacy Book 1)
B0DSRPZ7NY_2025-09-24_MANUAL,The Good Girl Effect (Salacious Legacy Book 1)
B0DWSZPM62_2025-09-14_AUTOMATIC,Wild Card
B0DWSZPM62_2025-09-14_MANUAL,Wild Card
B0DWVCNRFT_2025-06-21_AUTOMATIC,Till Summer Do Us Part
B0DWVCNRFT_2025-06-21_MANUAL,Till Summer Do Us Part
B0DXPCCDPR_2025-10-14_MANUAL,It's Different This Time: A Novel
B0DXVVG8LM_2025-09-20_AUTOMATIC,Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)
B0DXVVG8LM_2025-09-20_MANUAL,Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)
B0DY891B7R_2025-07-11_AUTOMATIC,Hat Trick (D.C. Stars Book 4)
B0DY891B7R_2025-07-11_MANUAL,Hat Trick (D.C. Stars Book 4)
