asin_date_and_content_type,product_name
B017O4W3V8_2024-04-27_AUTOMATIC,Perfectly Imperfect
B017S3J3X6_2024-03-16_AUTOMATIC,Tempt Me (The Wolf Hotel Book 1)
B017T5CJWA_2025-01-29_AUTOMATIC,Addiction (The Hunted Series Book 2)
B017T5CJWA_2025-01-29_MANUAL,Addiction (The Hunted Series Book 2)
B0181ONKDU_2024-11-03_AUTOMATIC,Corrupt (Devil's Night Book 1)
B0183KJZE0_2024-03-22_AUTOMATIC,One with You (Crossfire Series Book 5)
B0188332MI_2024-03-04_AUTOMATIC,Long Way Down (Addicted Series)
B0188332MI_2025-05-14_MANUAL,Long Way Down (Addicted Series)
B01ANM7GJC_2025-01-03_AUTOMATIC,Empire of Storms (Throne Of Glass Series Book 5)
B01BU2NFTO_2024-03-16_AUTOMATIC,Break Me (The Wolf Hotel Book 2)
B01D6TA9Y8_2024-03-10_MANUAL,The Contract: An enemies to marriage office romance (The Contract Series Book 1)
B01FTC8I84_2024-12-06_AUTOMATIC,The Goal (Off-Campus Book 4)
B01FWXWOV2_2025-05-18_MANUAL,Some Kind of Perfect (Addicted Series)
B01KB8XC5A_2024-03-08_MANUAL,Punk 57
B01L7Q54NI_2024-04-11_AUTOMATIC,Tempt Me: A Stark International Security Novella
B01LOWN78Y_2024-11-23_AUTOMATIC,A Court of Wings and Ruin (A Court of Thorns and Roses Book 3)
B01LWVWGZW_2024-04-10_AUTOMATIC,Take My Dare: A Stark International Novella (Stark International Trilogy Book 4)
B01M04PNMH_2024-03-16_AUTOMATIC,Teach Me (The Wolf Hotel Book 3)
B01M8NHXGH_2025-01-05_AUTOMATIC,Tower of Dawn (Throne of Glass Book 6)
B01M8NHXGH_2025-01-05_MANUAL,Tower of Dawn (Throne of Glass Book 6)
B01M98D4TM_2024-04-04_AUTOMATIC,Not Available
B01M98D4TM_2024-04-04_MANUAL,Not Available
B01M98D4TM_2024-04-15_MANUAL,Not Available
B01MSWC05T_2024-04-15_MANUAL,Hold Me: A Stark Ever After Novella (1001 Dark Nights)
B01MTZDCUN_2024-03-04_AUTOMATIC,All The Lies (Mindf*ck Series Book 4)
B01MYYEYWP_2024-03-08_MANUAL,Scarlet Angel (Mindf*ck Series Book 3)
B01N5C6HP9_2024-03-03_AUTOMATIC,Sidetracked (Mindf*ck Series Book 2)
B01N7GREG9_2024-03-04_AUTOMATIC,Paint It All Red (Mindf*ck Series Book 5)
B071NRXLXB_2024-03-09_AUTOMATIC,The Baby Clause: 2.0 (The Contract Series)
B0727NP66G_2025-03-18_MANUAL,Restore Me (Shatter Me Book 4)
B074N6J64B_2024-05-05_AUTOMATIC,Not Available
B0757CRTLY_2024-03-17_AUTOMATIC,Surrender To Me (The Wolf Hotel Book 4)
B075818VDG_2024-11-24_AUTOMATIC,A Court of Frost and Starlight (A Court of Thorns and Roses Book 4)
B075CRQLKG_2025-01-09_AUTOMATIC,Love and Other Words
B075CW598Y_2024-10-03_AUTOMATIC,Fumbled Hearts (A Fumbled Futures Novel Book 1)
B0763NXSM7_2024-11-04_AUTOMATIC,Hideaway (Devil's Night Book 2)
B076G47245_2025-04-26_AUTOMATIC,Drive (The Bittersweet Symphony Duet Book 1)
B076G47245_2025-04-26_MANUAL,Drive (The Bittersweet Symphony Duet Book 1)
B0778CV9Y4_2024-04-14_MANUAL,Please Me: A Stark Ever After Novella (1001 Dark Nights)
B0797DCN67_2024-09-17_AUTOMATIC,Signed (The Agency Series Book 1)
B079JF4D4S_2024-05-13_AUTOMATIC,From Lukov with Love
B079JYG6D4_2025-01-08_AUTOMATIC,Kingdom of Ash (Throne of Glass Book 7)
B079JYG6D4_2025-01-08_MANUAL,Kingdom of Ash (Throne of Glass Book 7)
B07B9WH8KT_2024-03-11_AUTOMATIC,Part-Time Husband (Trophy Husbands Book 1)
B07C7N5CBS_2024-03-06_AUTOMATIC,Birthday Girl
B07D7Q29LQ_2024-10-03_AUTOMATIC,Defenseless Hearts (A Fumbled Futures Novel Book 2)
B07DJPWWZT_2025-01-01_MANUAL,Theirs for the Night: (A MMF Romance) (Twisted Hearts)
B07DMZ5YR9_2025-08-23_AUTOMATIC,Daisy Jones & The Six: Reese's Book Club: A Novel
B07DMZ5YR9_2025-08-23_MANUAL,Daisy Jones & The Six: Reese's Book Club: A Novel
B07DS4TZ93_2024-10-25_AUTOMATIC,The Sweetest Oblivion (Made Book 1)
B07G4H3665_2024-12-08_AUTOMATIC,The Risk (Briar U Book 2)
B07G5FTPGY_2024-04-16_AUTOMATIC,Damien: A Stark Novel (Stark Saga Book 6)
B07G6M9HDV_2024-12-07_AUTOMATIC,The Chase: A Grumpy Sunshine College Hockey Romance (Briar U Book 1)
B07H53MXL7_2025-02-28_MANUAL,Not Available
B07H56SK9J_2025-03-01_MANUAL,Not Available
B07J4LPZRN_2024-05-11_AUTOMATIC,"Red, White & Royal Blue: A Novel"
B07JH7ZKVX_2024-12-10_AUTOMATIC,Puck Me Secretly (A Vancouver Wolves Hockey Romance Book 1)
B07K6G7QBR_2024-08-25_AUTOMATIC,The Friend Zone
B07KF75BSQ_2024-08-29_AUTOMATIC,The Flatshare: A Novel
B07KWL5L8Y_2024-04-20_MANUAL,"Sorry Spock, Emotions Drive Business: Proving the Value of Creative Ideas With Science"
B07MGS7HF1_2024-07-22_AUTOMATIC,The Unhoneymooners
B07N1Y4SNJ_2025-06-08_AUTOMATIC,Remember Us This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 1)
B07N1Y4SNJ_2025-06-08_MANUAL,Remember Us This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 1)
B07N6PJWQF_2025-06-08_AUTOMATIC,Remember You This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 2)
B07N6PJWQF_2025-06-08_MANUAL,Remember You This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 2)
B07NK59922_2024-11-08_AUTOMATIC,Kill Switch (Devil's Night Book 3)
B07QBC8QTP_2025-01-31_AUTOMATIC,House of Earth and Blood (Crescent City Book 1)
B07QBC8QTP_2025-01-31_MANUAL,House of Earth and Blood (Crescent City Book 1)
B07QNKVR3N_2024-03-05_AUTOMATIC,The Stopover (The Miles High Club Book 1)
B07QQLW215_2024-10-26_AUTOMATIC,The Maddest Obsession (Made Book 2)
B07W54QG2X_2024-08-25_AUTOMATIC,The Happy Ever After Playlist (The Friend Zone Book 2)
B07WD5D3PN_2024-05-07_MANUAL,Heidi's Guide to Four Letter Words
B07WJ2X243_2024-03-10_AUTOMATIC,The Amendment (The Contract Series Book 2)
B07XNKRV83_2025-03-15_AUTOMATIC,Beach Read
B07XNKRV83_2025-03-15_MANUAL,Beach Read
B07XQK3SGQ_2024-03-16_AUTOMATIC,Boss in the Bedsheets
B07Y82JMF8_2024-03-26_AUTOMATIC,The Takeover (The Miles High Club Book 2)
B07Z8CGG7R_2025-06-08_AUTOMATIC,Remember Me This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 3)
B07Z8CGG7R_2025-06-08_MANUAL,Remember Me This Way: A Contemporary Rockstar Romance (The Sounds of Us Book 3)
B07ZFZZ2GQ_2024-03-31_AUTOMATIC,Beautifully Cruel
B081XD3QXJ_2024-11-10_AUTOMATIC,Conclave: Devil's Night 3.5
B08266PLCC_2024-03-13_AUTOMATIC,Ruthless Prince: A Dark Captive Romance (Ruthless Rulers Book 1)
B08266SRVP_2024-03-14_AUTOMATIC,Broken Princess: A Dark Captive Romance (Ruthless Rulers Book 3)
B08266V1T2_2024-03-13_AUTOMATIC,Sinful Palace: A Dark Captive Romance (Ruthless Rulers Book 2)
B083GY7J9P_2024-04-22_AUTOMATIC,Priceless: A Dark College Romance
B083TZV25B_2024-03-08_AUTOMATIC,Credence
B0872K48RW_2025-01-10_AUTOMATIC,Highest Bidder
B087WWR8YT_2024-08-08_AUTOMATIC,If We Ever Meet Again (If Love Book 1)
B089FCXRRB_2025-01-03_MANUAL,Not Available
B089G7T55M_2024-08-08_AUTOMATIC,If the Sun Never Sets (If Love Book 2)
B089H1D5V6_2024-11-12_AUTOMATIC,Nightfall (Devil's Night Book 4)
B08CHNCDN5_2024-11-25_AUTOMATIC,A Court of Silver Flames (A Court of Thorns and Roses Book 5)
B08DFMFLTG_2024-08-10_AUTOMATIC,If Love Had A Price
B08DSWRN3D_2025-08-15_MANUAL,Flock
B08F4ZSTH2_2024-09-09_AUTOMATIC,Life's Too Short (The Friend Zone Book 3)
B08F6X4JC9_2025-08-15_MANUAL,Exodus (The Ravenhood)
B08FZNYQJC_2025-04-03_AUTOMATIC,People We Meet on Vacation
B08FZNYQJC_2025-04-03_MANUAL,People We Meet on Vacation
B08HJDG47W_2025-03-23_AUTOMATIC,Gild (The Plated Prisoner Series Book 1)
B08HJDG47W_2025-03-23_MANUAL,Gild (The Plated Prisoner Series Book 1)
B08HYD8NY3_2024-08-11_AUTOMATIC,If We Were Perfect (If Love Book 4)
B08K62VYDJ_2024-02-24_AUTOMATIC,In Love And War: An Enemies to Lovers Office Romance
B08LDYBGJD_2025-09-26_AUTOMATIC,The Soulmate Equation
B08LDYBGJD_2025-09-26_MANUAL,The Soulmate Equation
B08PTD2GFJ_2024-11-13_AUTOMATIC,Fire Night: Devil's Night 4.5
B08QDJX3VB_2024-10-28_AUTOMATIC,The Darkest Temptation (Made Book 3)
B08RW8MW3D_2025-03-24_AUTOMATIC,Glint (The Plated Prisoner Series Book 2)
B08RW8MW3D_2025-03-24_MANUAL,Glint (The Plated Prisoner Series Book 2)
B08T6XN4FP_2025-03-12_AUTOMATIC,The Love Hypothesis
B08T6XN4FP_2025-03-12_MANUAL,The Love Hypothesis
B08X472VK3_2024-03-27_AUTOMATIC,The Casanova (The Miles High Club Book 3)
B08XK8L1J7_2025-03-25_AUTOMATIC,Gleam (The Plated Prisoner Series Book 3)
B08XK8L1J7_2025-03-25_MANUAL,Gleam (The Plated Prisoner Series Book 3)
B08XLKH2Q2_2025-06-05_AUTOMATIC,The Kings of Kearny: A Steamy MC Romance
B08XLKH2Q2_2025-06-05_MANUAL,The Kings of Kearny: A Steamy MC Romance
B08Y6DCS1Y_2024-02-29_AUTOMATIC,Twisted Love
B08Y758VM1_2024-08-17_AUTOMATIC,Work with Me: An Enemies-to-Lovers Standalone Office Romance (Synergy Office Romance Book 1)
