created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2025-09-19T21:59:46Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,Wikipedia Info Card,Lookup Card First Time Viewed,2,Successful Lookup,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-10T21:41:47Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,LookupButton,SearchInWeb,Lookup Card First Time Viewed,3,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-02T23:08:35Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-29T17:55:53Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-07-31T22:16:07Z,www.amazon.com,,Kindle for iOS,B0CW1J839S,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-09T19:40:41Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Selection,Wikipedia Info Card,Lookup Card First Time Viewed,1,Successful Lookup,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-26T15:22:09Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-10T21:41:44Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,LookupButton,Translation Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,en,en
2025-09-22T01:45:53Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-29T00:06:15Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
