Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2025-10-04T06:08:44Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2025-10-05T23:39:37Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Inbook Mini Player,Pause,Vertical Scroll View,0,Assistive Reader
2025-10-05T20:35:05Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Inbook Mini Player,Pause,Paginated View,0,Audible
2025-08-21T00:46:52Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2025-09-14T22:52:40Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Inbook Mini Player,Pause,Vertical Scroll View,29,Audible
2025-10-07T00:03:05Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Inbook Full Player,Speed Option Selected,Paginated View,0,Audible
2025-09-14T21:08:04Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Out of App,Pause,Vertical Scroll View,194,Audible
2025-10-07T00:08:11Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Inbook Mini Player,Pause,Paginated View,0,Audible
2025-09-14T22:05:52Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Out of App,Pause,Vertical Scroll View,4,Audible
2025-08-18T21:16:24Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Inbook Full Player,Speed Option Selected,Vertical Scroll View,0,Audible
2025-09-14T22:51:39Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2025-09-14T23:33:43Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Out of App,Play,Vertical Scroll View,0,Audible
2025-10-06T00:01:46Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Inbook Mini Player,Pause,Paginated View,0,Assistive Reader
2025-09-14T23:32:33Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Inbook Mini Player,Rewind 30 Seconds,Vertical Scroll View,0,Audible
2025-10-06T09:45:14Z,www.amazon.com,,Kindle for iOS,,Out of App,Play,Vertical Scroll View,0,Audible
2025-09-15T00:06:52Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2025-09-15T00:11:37Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Inbook Mini Player,Speed Option Selected,Vertical Scroll View,0,Audible
2025-09-14T23:33:51Z,www.amazon.com,,Kindle for iOS,B0FBMM3SCD,Out of App,Play,Vertical Scroll View,0,Audible
