DSN,DeviceOSVersion,DeviceLocale,NotificationSettingLastModified,NotificationSettings,Timezone,NotificationsEnabled
64A32768C3794A7CA443A2368E83E905,17.4.1,en_US,04/15/2024 00:24,,America/Chicago,true
DFE17369AE255C3FBCC54ABD864547FA,16.6,en_US,10/09/2023 15:51,,America/Chicago,false
