"Product Name","ASIN","Genre"
"Tryst Six Venom","B09418JQMK","Romance"
"Tryst Six Venom","B09418JQMK","Literature & Fiction"
"Reverse (The Bittersweet Symphony Duet Book 2)","B0B6SZZDTP","Romance"
"Reverse (The Bittersweet Symphony Duet Book 2)","B0B6SZZDTP","Literature & Fiction"
"Drive (The Bittersweet Symphony Duet Book 1)","B076G47245","Romance"
"Bridesmaid by Chance","B0DCTZPG8V","Romance"
"The Dream Guy Next Door","B08MB531QL","Romance"
"Love, Rebooted","B0F1NHK4T7","Romance"
"One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1","B0CCZYXD2T","Romance"
"Play With Me (Playing For Keeps Book 2)","B0B6PRL9H5","Romance"
"Play With Me (Playing For Keeps Book 2)","B0B6PRL9H5","Literature & Fiction"
"Unravel Me (Playing For Keeps Book 3)","B0CD2RWNVL","Romance"
"Unravel Me (Playing For Keeps Book 3)","B0CD2RWNVL","Literature & Fiction"
"Fall With Me (Playing For Keeps Book 4)","B0CVLJ8816","Romance"
"Fall With Me (Playing For Keeps Book 4)","B0CVLJ8816","Literature & Fiction"
"One Last Rainy Day (Ravenhood Legacy Book 1)","B0D9CC3C9Y","Romance"
"Nocticadia","B0C3426KGW","Romance"
"Nocticadia","B0C3426KGW","Literature & Fiction"
"Does It Hurt?: An Enemies to Lovers Romance","B09PKTYKGZ","Romance"
"Does It Hurt?: An Enemies to Lovers Romance","B09PKTYKGZ","Literature & Fiction"
"THAT SIK LUV","B0BSYJCFHD","Romance"
"THAT SIK LUV","B0BSYJCFHD","Literature & Fiction"
"Beautiful Fiend: A Dark Enemies to Lovers Romance (North Shore Stories Book 1)","B0BYB6DXBY","Romance"
"Beautiful Fiend: A Dark Enemies to Lovers Romance (North Shore Stories Book 1)","B0BYB6DXBY","Literature & Fiction"
"A Dose of Pretty Poison: A Brother's Best Friend Romance (Pretty Poison Trilogy Book 1)","B0BVV2TLZD","Romance"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","Romance"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","Literature & Fiction"
"Bound by Honor (Born in Blood Mafia Chronicles Book 1)","B00PUS8AEK","Romance"
"War of Her Heart","B0DJWGHHX3","Science Fiction & Fantasy"
"War of Her Heart","B0DJWGHHX3","Romance"
"Kingmakers: Year One","B08R9PX3ZL","Romance"
"There Are No Saints (Sinners Duet Book 1)","B09GCC6Y5M","Romance"
"The Charlie Method (Campus Diaries Book 3)","B0CWZ83PGD","Romance"
