created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Real Time Highlighting Setting,New Real Time Highlighting Setting
2024-02-24T14:32:57Z,US,,Kindle for iOS,B08K62VYDJ,On,Off
2024-03-01T15:21:13Z,US,,Kindle for iOS,B0994RZ2L1,Off,On
