"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Ali Hazelwood","Not Available","Collection Follow","AUTHOR"
"Abby Jimenez","Not Available","Collection Follow","AUTHOR"
"Emily Henry","Not Available","Collection Follow","AUTHOR"
"Elsie Silver","Not Available","Collection Follow","AUTHOR"
"Liz Tomforde","Not Available","Collection Follow","AUTHOR"
