device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2024-04-24T02:34:38Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,1709646,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-24T02:06:08Z,Amazon.com
2024-04-24T02:06:08Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,117725,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-24T02:04:10Z,Amazon.com
2024-04-24T02:06:07Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,117399,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-24T02:04:10Z,Amazon.com
2024-04-24T02:04:13Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,10164,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-24T02:04:02Z,Amazon.com
2024-04-23T05:54:40Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,3279185,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T05:00:01Z,Amazon.com
2024-04-23T05:00:01Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,175213,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T04:57:06Z,Amazon.com
2024-04-23T04:56:37Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,4363234,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:43:54Z,Amazon.com
2024-04-23T03:43:54Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,74866,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:42:39Z,Amazon.com
2024-04-23T03:43:53Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,9440,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:43:43Z,Amazon.com
2024-04-23T03:43:43Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,7126,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:43:36Z,Amazon.com
2024-04-23T03:43:36Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,10312,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:43:26Z,Amazon.com
2024-04-23T03:43:26Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,27456,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:42:58Z,Amazon.com
2024-04-23T03:42:58Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,19912,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:42:38Z,Amazon.com
2024-04-23T03:42:40Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,8162,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-23T03:42:32Z,Amazon.com
