created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2024-04-15T20:07:29Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-08T02:04:44Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-04T03:54:19Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-29T02:59:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-05-15T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,wireless,wifi,by user
2024-05-16T08:37:52Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-14T02:52:29Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-07-20T15:48:18Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,off,by user
2024-04-17T08:32:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-24T08:33:23Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-05-06T08:37:37Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,idle,by user
2024-05-02T08:38:51Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-16T08:33:24Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-05-04T08:37:40Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,off,by user
2024-05-01T08:34:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-17T01:03:05Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-19T08:32:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-01T08:32:26Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3,wireless,wifi,by user
2024-05-06T08:32:18Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,wireless,wifi,by user
2024-05-18T08:32:15Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,wireless,wifi,by user
2024-04-22T08:32:23Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,wireless,wifi,by user
2024-05-08T08:32:20Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,wireless,wifi,by user
2024-04-21T20:53:40Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,idle,by user
2024-05-10T08:38:34Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-11T03:36:06Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-20T15:40:10Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,bluetooth,idle,by user
2024-04-22T02:02:08Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,wireless,wifi,by user
2024-04-24T02:36:28Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,off,by user
