device_record_time,device serial number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,amazon marketplace
2024-03-30T12:03:17Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Not Available,Not Available,Not Available,1,82880,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:55:54,Amazon.com
2024-04-06T02:04:12Z,G8S1LG134041039L,United States,com.lab126.KPPStoreShopping,UNKNOWN,0,Ereader,Not Available,Not Available,1,1392,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:18:10,Amazon.com
2024-04-08T02:04:28Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,396706,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 02:04:51,Amazon.com
2024-04-11T12:04:45Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Not Available,Not Available,Not Available,1,68366,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-10 02:50:37,Amazon.com
2024-04-07T05:04:06Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,4713,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 17:53:01,Amazon.com
2024-03-30T12:03:18Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Tablet,Not Available,Not Available,1,163699,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:57:35,Amazon.com
2024-04-06T04:04:34Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,7039004,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:19:15,Amazon.com
2024-03-30T01:03:53Z,G8S1LG134041039L,United States,com.lab126.KPP_SETTINGS,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,28191,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:44:24,Amazon.com
2024-04-08T11:04:50Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,7333,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 23:41:43,Amazon.com
2024-03-29T02:03:29Z,G8S1LG134041039L,United States,com.lab126.booklet.settings,UNKNOWN,0,Ereader,Not Available,Not Available,1,10900,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:47:18,Amazon.com
2024-03-30T01:03:54Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,1706320,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:05:27,Amazon.com
2024-03-30T12:03:00Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,RING,Not Available,Not Available,1,125630,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:55:54,Amazon.com
2024-04-07T01:04:57Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,1512207,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 00:44:45,Amazon.com
2024-04-02T10:04:39Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,4227656,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-02 09:48:11,Amazon.com
2024-03-29T02:03:37Z,G8S1LG134041039L,United States,com.lab126.booklet.settings,UNKNOWN,0,Tablet,Not Available,Not Available,1,23748,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:48:13,Amazon.com
2024-03-30T07:03:04Z,G8S1LG134041039L,United States,com.lab126.browser,UNKNOWN,0,Ereader,Not Available,Not Available,1,146605,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 19:49:38,Amazon.com
2024-03-30T12:03:23Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,RING,Not Available,Not Available,1,1187,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:58:21,Amazon.com
2024-03-31T01:03:56Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Not Available,Not Available,Not Available,1,8553,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 01:03:48,Amazon.com
2024-04-06T11:04:52Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Tablet,Not Available,Not Available,1,372697,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 23:25:39,Amazon.com
2024-04-06T12:04:41Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,4391,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 00:51:36,Amazon.com
2024-03-29T02:03:46Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Not Available,Not Available,Not Available,1,170196,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:52:56,Amazon.com
2024-04-02T01:04:20Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,6321,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-02 01:26:14,Amazon.com
2024-04-06T04:04:34Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,7039004,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:19:15,Amazon.com
2024-03-31T12:03:12Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Tablet,Not Available,Not Available,1,541677,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 00:24:10,Amazon.com
2024-04-11T12:04:57Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Tablet,Not Available,Not Available,1,11836,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-11 00:54:45,Amazon.com
2024-04-07T05:04:26Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,RING,Not Available,Not Available,1,5450,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 17:52:21,Amazon.com
