created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2024-03-22T02:55:18Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-22T02:55:15Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-04T19:06:24Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-13T19:43:58Z,Not Available,US,Kindle for iOS,B08266SRVP,4,4,seriesGroupingEnabled
2024-04-06T01:57:16Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-02T11:07:45Z,Not Available,US,Kindle for iOS,B0BHLBHG79,4,5,seriesGroupingEnabled
2024-03-06T22:44:34Z,Not Available,US,Kindle for iOS,B01KB8XC5A,3,5,seriesGroupingEnabled
2024-03-16T01:31:54Z,Not Available,US,Kindle for iOS,Not Available,3,3,seriesGroupingEnabled
2024-02-23T22:34:09Z,Not Available,US,Mac,Not Available,1,2,seriesGroupingEnabled
2024-02-29T19:44:37Z,Not Available,US,Kindle for iOS,B08Y6DCS1Y,2,2,seriesGroupingEnabled
2024-03-03T07:01:45Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-02-25T20:12:52Z,Not Available,US,Kindle for iOS,B0B232HFC9,1,2,seriesGroupingEnabled
2024-02-24T20:30:17Z,Not Available,US,Kindle for iOS,B09CNFRZDC,1,2,seriesGroupingEnabled
2024-03-08T18:52:28Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-04-11T14:08:28Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-03T09:10:53Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-03-09T02:41:00Z,Not Available,US,Kindle for iOS,B01D6TA9Y8,2,2,seriesGroupingEnabled
2024-02-27T22:55:57Z,Not Available,US,Kindle for iOS,B0BDW9C3JY,2,2,seriesGroupingEnabled
2024-03-14T00:33:24Z,Not Available,US,Kindle for iOS,B0C7QYS91W,3,4,seriesGroupingEnabled
2024-04-02T21:31:07Z,Not Available,US,Kindle for iOS,5BEA93B92BE3430FB2DF09D918F5365C,4,5,seriesGroupingEnabled
2024-04-02T11:08:14Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-11T07:04:43Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-03-10T23:06:53Z,Not Available,US,Kindle for iOS,B07B9WH8KT,3,2,seriesGroupingEnabled
2024-03-06T12:28:00Z,Not Available,US,Kindle for iOS,B01KB8XC5A,3,5,seriesGroupingEnabled
2024-03-16T20:54:58Z,Not Available,US,Kindle for iOS,B0757CRTLY,4,4,seriesGroupingEnabled
2024-03-18T03:14:15Z,Not Available,US,Kindle for iOS,B01N7KLCRR,3,3,seriesGroupingEnabled
2024-04-04T06:15:53Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-03T09:11:10Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-11T20:53:00Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-03-26T11:03:54Z,Not Available,US,Kindle for iOS,B0BCZWC3QZ,4,5,seriesGroupingEnabled
2024-04-09T18:37:25Z,Not Available,US,Kindle for iOS,B00QE1DLIC,6,5,seriesGroupingEnabled
2024-04-15T05:24:41Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-20T11:28:11Z,Not Available,US,Kindle for iOS,B00NEQRNVG,4,5,seriesGroupingEnabled
2024-03-03T09:10:58Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-07T21:10:06Z,Not Available,US,Kindle for iOS,B083TZV25B,3,5,seriesGroupingEnabled
2024-02-25T14:34:58Z,Not Available,US,Kindle for iOS,B0B232HFC9,1,2,seriesGroupingEnabled
2024-03-08T19:04:03Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-04-09T18:37:48Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-30T12:07:31Z,Not Available,US,Kindle for iOS,B07ZFZZ2GQ,4,5,seriesGroupingEnabled
2024-03-11T07:14:04Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-03-04T20:09:24Z,Not Available,US,Kindle for iOS,B09NJBVM8Z,3,5,seriesGroupingEnabled
2024-03-11T12:28:20Z,Not Available,US,Kindle for iOS,B0CL7L1Y9X,3,6,seriesGroupingEnabled
2024-04-03T03:55:34Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-23T02:41:50Z,Not Available,US,Kindle for iOS,B083GY7J9P,3,5,seriesGroupingEnabled
2024-03-23T00:24:23Z,Not Available,US,Kindle for iOS,B0CHWQPB49,3,5,seriesGroupingEnabled
2024-03-04T06:20:08Z,Not Available,US,Kindle for iOS,B01N7GREG9,2,5,seriesGroupingEnabled
2024-03-21T18:48:32Z,Not Available,US,Kindle for iOS,B0183KJZE0,4,5,seriesGroupingEnabled
2024-04-05T19:01:15Z,Not Available,US,Kindle for iOS,B00AXIZ5MC,5,5,seriesGroupingEnabled
2024-03-08T19:04:11Z,Not Available,US,Kindle for iOS,B0B1KVSRCL,2,2,seriesGroupingEnabled
2024-03-26T11:03:41Z,Not Available,US,Kindle for iOS,B07QNKVR3N,3,5,seriesGroupingEnabled
2024-03-25T13:34:44Z,Not Available,US,Kindle for iOS,B00W22ITCU,4,5,seriesGroupingEnabled
2024-03-11T07:14:21Z,Not Available,US,Kindle for iOS,B0CL7GMPD4,3,6,seriesGroupingEnabled
2024-02-24T20:52:53Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-23T20:22:35Z,Not Available,US,Kindle for iOS,B00V3MY1IQ,3,5,seriesGroupingEnabled
2024-03-16T14:41:50Z,Not Available,US,Kindle for iOS,Not Available,4,3,seriesGroupingEnabled
2024-04-05T23:29:16Z,Not Available,US,Kindle for iOS,B00AXIZ5MC,4,5,seriesGroupingEnabled
2024-03-15T14:14:05Z,Not Available,US,Kindle for iOS,B07XQK3SGQ,3,3,seriesGroupingEnabled
2024-02-29T01:25:57Z,Not Available,US,Kindle for iOS,B09HLCTYZ8,2,2,seriesGroupingEnabled
2024-04-06T13:30:56Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-17T20:20:16Z,Not Available,US,Kindle for iOS,B0757CRTLY,4,5,seriesGroupingEnabled
2024-04-11T06:14:18Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-06T02:23:52Z,Not Available,US,Kindle for iOS,B07C7N5CBS,3,5,seriesGroupingEnabled
2024-02-27T12:14:50Z,Not Available,US,Kindle for iOS,B09X6KD3CS,2,2,seriesGroupingEnabled
2024-03-19T02:47:55Z,Not Available,US,Kindle for iOS,B008673ZAQ,4,5,seriesGroupingEnabled
2024-03-08T18:52:31Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-04-11T14:07:05Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-04T15:07:21Z,Not Available,US,Kindle for iOS,B09NJBVM8Z,3,5,seriesGroupingEnabled
2024-03-15T09:09:27Z,Not Available,US,Kindle for iOS,Not Available,3,3,seriesGroupingEnabled
2024-03-11T07:00:50Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-03-11T07:14:01Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-04-02T14:43:32Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-25T05:56:18Z,Not Available,US,Kindle for iOS,B07Y82JMF8,4,5,seriesGroupingEnabled
2024-03-11T07:14:09Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-03-06T12:28:05Z,Not Available,US,Kindle for iOS,B01KB8XC5A,3,5,seriesGroupingEnabled
2024-02-27T17:48:52Z,Not Available,US,Kindle for iOS,B0BDW9C3JY,2,2,seriesGroupingEnabled
2024-04-15T20:14:52Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-21T23:50:48Z,Not Available,US,Kindle for iOS,B0183KJZE0,4,5,seriesGroupingEnabled
2024-04-04T19:45:11Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-13T19:28:18Z,Not Available,US,Kindle for iOS,B08266V1T2,4,4,seriesGroupingEnabled
2024-03-07T05:09:58Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-02-28T16:20:38Z,Not Available,US,Kindle for iOS,B0BDW83LGQ,2,2,seriesGroupingEnabled
