Device Serial Number,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,Amazon Device Model Name,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
Third party device/Application,ADULT,PRIMARY,Alex's iOS Device (MP3),2020-10-10T20:29:55.109Z,2020-10-10T20:29:55.109Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Kindle for Mac,2020-06-09T20:25:33.302Z,2020-06-09T20:25:33.302Z,2020-06-09T20:27:14.113Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's August Smart Lock Pro + Connect,2019-11-22T01:01:40.298Z,2019-11-22T01:01:40.298Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's August Smart Lock Pro + Connect,2019-11-22T01:01:40.238Z,2019-11-22T01:01:40.238Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex,2019-10-19T19:20:08.802Z,2019-10-19T19:20:08.802Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 4th iOS Device,2019-10-06T23:59:22.514Z,2019-10-06T23:59:22.514Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 5th iPhone,2019-07-20T20:23:10.137Z,2019-07-20T20:23:10.137Z,2019-07-20T20:46:38.033Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 5th Amazon Alexa on iOS,2019-07-20T20:23:08.080Z,2019-07-20T20:23:08.080Z,2019-07-20T20:46:17.441Z,INACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
G0911B05924309W3,ADULT,PRIMARY,Alex's Echo Show,2019-07-20T20:06:02.959Z,2019-07-20T20:06:02.959Z,Not Available,ACTIVE,5268813700,Not Available,Not Available,-300mm,68.63.106.202,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 4th iPhone,2019-07-19T02:43:19.851Z,2019-07-19T02:43:19.851Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 4th Amazon Alexa on iOS,2019-07-19T02:43:16.266Z,2019-07-19T02:43:16.266Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Unnamed Room,2019-07-17T22:13:02.788Z,2019-07-17T22:13:02.788Z,2019-07-17T22:13:37.926Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Sonos,2019-07-17T00:56:46.653Z,2019-07-17T00:56:46.653Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Living Room,2019-07-17T00:40:08.946Z,2019-07-17T00:40:08.946Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Thermostat,2019-06-23T16:35:41.605Z,2019-06-23T16:35:41.605Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
G090LF11747408PH,ADULT,PRIMARY,Living Room Dot,2019-06-23T03:33:20.809Z,2019-07-15T02:18:09.028Z,2019-12-09T22:34:58.542Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 2nd iPhone,2019-06-23T03:14:26.935Z,2019-06-23T03:14:26.935Z,2019-07-20T20:46:06.104Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 3rd Amazon Alexa on iOS,2019-06-23T03:14:23.129Z,2019-07-15T02:35:03.125Z,2019-07-20T20:45:45.600Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 3rd iOS Device,2019-06-22T21:28:41.084Z,2019-06-22T21:28:41.084Z,Not Available,ACTIVE,0,iPad,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 3rd iPhone,2019-02-12T04:35:04.131Z,2019-07-13T20:56:34.591Z,2019-07-24T00:37:19.666Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 2nd iOS Device,2019-02-10T01:48:47.158Z,2019-02-10T01:48:47.158Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
90C60706529300QE,ADULT,PRIMARY,Alex's Kindle,2019-01-14T13:47:45.114Z,2019-01-14T13:47:45.114Z,2024-03-30T01:00:25.724Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's iOS Device,2019-01-14T09:04:36.160Z,2019-07-13T20:56:13.567Z,Not Available,ACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's 2nd Amazon Alexa on iOS,2018-07-31T22:55:33.382Z,2019-07-13T20:54:37.321Z,2019-07-24T00:36:23.607Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Alexa iOS App,2018-06-06T00:57:22.495Z,2018-06-06T00:57:22.495Z,2018-07-31T22:55:17.975Z,INACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's iPhone,2018-05-25T00:10:03.296Z,2018-07-31T22:55:35.324Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex's Alexa iOS App,2018-05-25T00:10:00.162Z,2018-05-25T00:10:00.162Z,2018-05-25T00:15:42.503Z,INACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Alex’s iPhone,2018-02-23T22:09:33.057Z,2018-02-23T22:09:33.057Z,2018-02-23T22:09:50.101Z,INACTIVE,0,iPhone,Not Available,Not Available,Not Available,Amazon,Not Applicable
