created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-08T16:20:13Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-05T09:34:59Z,US,US,Kindle E-reader,B008WOTQGU,ACTIVE,SCREEN SAVER
2024-04-08T23:53:37Z,US,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-04-04T08:50:25Z,US,US,Kindle E-reader,B0BJJTTM8K,ACTIVE,SCREEN SAVER
2024-04-07T02:53:04Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-15T00:46:52Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-05T06:33:05Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T00:42:47Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-11T02:34:28Z,US,US,Kindle E-reader,B01L7Q54NI,SCREEN SAVER,ACTIVE
2024-04-04T02:52:35Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-13T02:51:22Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T07:14:27Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T19:25:05Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T10:56:09Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-07T08:33:10Z,US,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-04-06T00:51:36Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T19:56:22Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-13T02:52:22Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T17:40:01Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-03-30T07:16:21Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-06T04:16:34Z,US,US,Kindle E-reader,B00BKK6E04,ACTIVE,SCREEN SAVER
2024-04-08T16:20:12Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T17:40:15Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T18:03:06Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
