Creation Date,ASIN,Product Name,Browse Node,StoreUrl,Device Platform,Display Status
2025-06-14T21:39:59Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/13a033b4-391a-446e-804e-e78591c21b6f?ref=kc-sp-gr-cp,"""IOS""","""Kindle App Notification Sent"""
2025-06-14T17:29:30Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0DNNDK3QZ%7CB00GU2RLMC%7CB0CZN3TVCV%7CB0DC66QD8K%7CB0DCG9WG3H%7CB0DWVCNRFT%7CB0CL1YQLB5%7CB09BNH4TLW%7CB0DFGDFM4V%7CB0C8MGS6GR%7CB0DC9FH6K5%7CB0B9SN8K6H%7CB09QMHZ53K%7CB07Z6NJP24%7CB07JLLFFSX%7CB0DF8QMLWC%7CB07NF2BDFZ%7CB0F195SMX4%7CB09BDYS72V%7CB0CCPNVNVK&pd_rd_w=NXBsb&content-id=amzn1.sym.382cac5a-d583-4fa8-880c-03413ca6e712&pf_rd_p=382cac5a-d583-4fa8-880c-03413ca6e712&pd_rd_wg=4WsPA&pd_rd_r=52019466-8f0b-4b0c-b4c6-1e0349ac1195,"""IOS""","""Kindle App Notification Sent"""
2025-06-14T15:50:19Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd1?ref=kr_krb_dpd,"""IOS""","""Kindle App Notification Sent"""
2025-06-13T17:28:46Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",http://www.amazon.com/b?ie=UTF8&node=207316272011&ref_=goodreads_readcfav2025,"""IOS""","""Kindle App Notification Sent"""
2025-06-12T17:41:35Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/b?ie=UTF8&node=5522568011&ref_=abptr_srm_ed_botysf_kp,"""IOS""","""Kindle App Notification Sent"""
2025-06-12T11:56:07Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,"""IOS""","""Kindle App Notification Sent"""
2025-06-11T21:57:44Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/annual,"""IOS""","""Kindle App Notification Sent"""
2025-06-10T17:43:59Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0DC66QD8K%7CB0CZN3TVCV%7CB0DCG9WG3H%7CB07JLLFFSX%7CB0DC9FH6K5%7CB0DFGDFM4V%7CB07Z6NJP24%7CB09BDYS72V%7CB0DF8QMLWC%7CB0F195SMX4%7CB01GQFEF0S%7CB0CYXM83FC%7CB0CQPVGH7V%7CB0CCPNVNVK%7CB01LPF52SI%7CB087JTWTJ9%7CB01C72XQ9U%7CB09TJQ6J4H%7CB0CQDN9DCJ&pd_rd_w=9mRid&content-id=amzn1.sym.382cac5a-d583-4fa8-880c-03413ca6e712&pf_rd_p=382cac5a-d583-4fa8-880c-03413ca6e712&pd_rd_wg=jqEvD&pd_rd_r=8a93a57e-aef6-4045-bfb8-b7ffdcf6fbbf,"""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
