created_timestamp,preferred_marketplace,country,device_family,ASIN,Result
2024-03-30T01:45:32Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Aa menu opened
2024-04-06T20:23:04Z,US,US,Kindle E-reader,B00H57X864,Aa menu opened
2024-04-06T17:18:22Z,US,US,Kindle E-reader,B00FO60CH6,Aa menu opened
2024-04-07T22:01:47Z,US,US,Kindle E-reader,B00N6PD7L0,Aa menu opened
