created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2024-03-31T00:26:56Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-15T23:48:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-03-30T01:18:18Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-24T02:34:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-03-31T03:38:54Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-07T03:08:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-06T02:52:15Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-04T03:11:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-31T12:47:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-30T01:08:46Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-02T10:17:21Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Set Brightness Level,6,In-book,VoiceView turned off,
2024-04-09T00:08:09Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-10T01:42:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-02T01:27:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-29T02:57:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-30T01:08:53Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-30T01:19:34Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T03:19:51Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T03:26:35Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T17:09:32Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-24T03:12:26Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-30T02:05:52Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,7,In-book,VoiceView turned off,
2024-04-15T23:48:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-11T03:19:54Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-11T03:24:54Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-07-17T15:39:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-11T00:54:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-31T00:26:56Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Set Warmth Level,14,In-book,VoiceView turned off,
2024-04-20T16:36:41Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-03-31T01:05:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Library,VoiceView turned off,
2024-03-30T00:52:58Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-09T04:05:53Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T00:54:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-06T02:18:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-04-10T01:42:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T13:58:37Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,11,In-book,VoiceView turned off,
2024-03-31T12:47:09Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Data sync,Clicked,In-book,VoiceView turned off,
2024-07-17T15:40:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,KPP_SETTINGS,VoiceView turned off,
2024-04-28T00:22:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-04T03:11:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T12:47:06Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T12:47:19Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-05T01:26:55Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T02:52:21Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,Set Brightness Level,7,In-book,VoiceView turned off,
2024-03-31T03:23:17Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,3,In-book,VoiceView turned off,
2024-04-20T01:39:03Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-03-31T14:28:04Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-02T01:27:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-04T06:56:10Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-24T03:12:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-03-29T02:47:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Set Warmth Level,10,Settings,VoiceView turned off,
2024-04-24T02:34:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
